"","c1","c2","c3","gene"
"Gnaq",1,1,1,"Gnaq"
"Limk2",2,2,2,"Limk2"
"Tarbp2",3,3,3,"Tarbp2"
"Brd7",3,3,3,"Brd7"
"Depdc1b",4,4,4,"Depdc1b"
"EG630499",5,5,5,"EG630499"
"Ppme1",4,4,4,"Ppme1"
"Armcx6",4,4,4,"Armcx6"
"Trim25",1,1,1,"Trim25"
"Plcxd1",4,4,4,"Plcxd1"
"Zfp652",1,1,1,"Zfp652"
"Cxcl9",6,6,6,"Cxcl9"
"Tmed10",7,7,7,"Tmed10"
"Stxbp1",3,3,3,"Stxbp1"
"B9d2",4,4,4,"B9d2"
"Ubl7",7,7,7,"Ubl7"
"Gm2a",2,2,2,"Gm2a"
"Khk",2,2,2,"Khk"
"Nt5dc3",4,4,4,"Nt5dc3"
"Irak2",3,3,3,"Irak2"
"Mtrf1",3,3,3,"Mtrf1"
"Akap7",7,7,7,"Akap7"
"Phldb1",7,7,7,"Phldb1"
"G0s2",5,5,5,"G0s2"
"Tmco3",7,7,7,"Tmco3"
"4632419K20Rik",2,2,2,"4632419K20Rik"
"Raet1b.1",1,1,1,"Raet1b.1"
"Rasgrp4",7,7,7,"Rasgrp4"
"3110043J09Rik",3,3,3,"3110043J09Rik"
"Mutyh",4,4,4,"Mutyh"
"Fbxl8",2,2,2,"Fbxl8"
"Agpat3",1,1,1,"Agpat3"
"Porcn",7,7,7,"Porcn"
"2210412D01Rik",3,3,3,"2210412D01Rik"
"Phtf1",5,5,5,"Phtf1"
"Sgcb",5,5,5,"Sgcb"
"Il11ra1",8,8,8,"Il11ra1"
"Mcl1",8,8,8,"Mcl1"
"Rnf185",6,6,6,"Rnf185"
"Unc119",4,4,4,"Unc119"
"Gsdmdc1",5,5,5,"Gsdmdc1"
"Tspan8",7,7,7,"Tspan8"
"Wipi1",4,4,4,"Wipi1"
"Aco2",4,4,4,"Aco2"
"Mtap6",1,1,1,"Mtap6"
"Cd86",5,5,5,"Cd86"
"Gba",4,4,4,"Gba"
"Elmo2",8,8,8,"Elmo2"
"Ndufv1",3,3,3,"Ndufv1"
"Adar",1,1,1,"Adar"
"Brms1",6,6,6,"Brms1"
"Pcyt1b",2,2,2,"Pcyt1b"
"Abi2",4,4,4,"Abi2"
"Ctnna1",3,3,3,"Ctnna1"
"1700007K13Rik",7,7,7,"1700007K13Rik"
"Polr2d",3,3,3,"Polr2d"
"Chst14",7,7,7,"Chst14"
"Rad50",4,4,4,"Rad50"
"Suhw2",7,7,7,"Suhw2"
"Id3",3,3,3,"Id3"
"Nrbp2",2,2,2,"Nrbp2"
"Cisd1",1,1,1,"Cisd1"
"Il4ra",7,7,7,"Il4ra"
"Asah1",4,4,4,"Asah1"
"Adamtsl4",7,7,7,"Adamtsl4"
"Cd164",5,5,5,"Cd164"
"Mxd3",4,4,4,"Mxd3"
"Itch",8,8,8,"Itch"
"Oas1g",1,1,1,"Oas1g"
"Fut7",1,1,1,"Fut7"
"Zfp768",4,4,4,"Zfp768"
"Dleu7",3,3,3,"Dleu7"
"Cox18",3,3,3,"Cox18"
"Arsb",1,1,1,"Arsb"
"Lrrc49",1,1,1,"Lrrc49"
"H2-DMa",7,7,7,"H2-DMa"
"Ddx60",1,1,1,"Ddx60"
"Hist1h4m",1,1,1,"Hist1h4m"
"Efna5",7,7,7,"Efna5"
"Fn3k",2,2,2,"Fn3k"
"Zfp91-cntf",6,6,6,"Zfp91-cntf"
"Rps10",8,8,8,"Rps10"
"Ing4",8,8,8,"Ing4"
"2500003M10Rik",8,8,8,"2500003M10Rik"
"Ktn1",7,7,7,"Ktn1"
"Il5",4,4,4,"Il5"
"Batf",4,4,4,"Batf"
"Crat",4,4,4,"Crat"
"Scamp1",4,4,4,"Scamp1"
"Pi4ka",8,8,8,"Pi4ka"
"Bbs9",2,2,2,"Bbs9"
"Entpd2",4,4,4,"Entpd2"
"Lgals3bp",1,1,1,"Lgals3bp"
"Centa1",3,3,3,"Centa1"
"Arhgap1",8,8,8,"Arhgap1"
"Sfn",5,5,5,"Sfn"
"Zfp524",1,1,1,"Zfp524"
"Tmem50b",8,8,8,"Tmem50b"
"Mier1",1,1,1,"Mier1"
"Zbtb2",8,8,8,"Zbtb2"
"Oasl1",1,1,1,"Oasl1"
"Tars2",4,4,4,"Tars2"
"Dgcr6",4,4,4,"Dgcr6"
"D2Ertd750e",4,4,4,"D2Ertd750e"
"BC017643",8,8,8,"BC017643"
"Naga",2,2,2,"Naga"
"Rab33a",4,4,4,"Rab33a"
"Tex264",5,5,5,"Tex264"
"Artn",4,4,4,"Artn"
"Stat1",5,5,5,"Stat1"
"Cd200",3,3,3,"Cd200"
"Atp10a",1,1,1,"Atp10a"
"Nqo2",1,1,1,"Nqo2"
"4930570C03Rik",7,7,7,"4930570C03Rik"
"Yipf3",2,2,2,"Yipf3"
"Htt",4,4,4,"Htt"
"Unc119.1",4,4,4,"Unc119.1"
"EG667977",5,5,5,"EG667977"
"Gab3",5,5,5,"Gab3"
"Rps6ka5",7,7,7,"Rps6ka5"
"Slc30a7",4,4,4,"Slc30a7"
"Msh5",1,1,1,"Msh5"
"Dtx3l",5,5,5,"Dtx3l"
"Exoc7",4,4,4,"Exoc7"
"4732479N06Rik",2,2,2,"4732479N06Rik"
"Afg3l1",3,3,3,"Afg3l1"
"Uevld",7,7,7,"Uevld"
"Rab31",7,7,7,"Rab31"
"Phlda3",7,7,7,"Phlda3"
"D10Ertd610e",4,4,4,"D10Ertd610e"
"Gcnt1",1,1,1,"Gcnt1"
"Exoc3",6,6,6,"Exoc3"
"Cercam",4,4,4,"Cercam"
"Impa2",7,7,7,"Impa2"
"Dhrs1",2,2,2,"Dhrs1"
"Hist2h3c1",1,1,1,"Hist2h3c1"
"8430427H17Rik",4,4,4,"8430427H17Rik"
"Tmco3.1",7,7,7,"Tmco3.1"
"Pfn2",7,7,7,"Pfn2"
"AB112350",2,2,2,"AB112350"
"Pcmtd1",5,5,5,"Pcmtd1"
"Ifit2",1,1,1,"Ifit2"
"Magi1",1,1,1,"Magi1"
"Zbtb32",3,3,3,"Zbtb32"
"Nfyb",4,4,4,"Nfyb"
"Lyl1",2,2,2,"Lyl1"
"Lrrc8c",1,1,1,"Lrrc8c"
"Ppm1b",6,6,6,"Ppm1b"
"Pter",3,3,3,"Pter"
"Nde1",2,2,2,"Nde1"
"Maged2",7,7,7,"Maged2"
"2700038C09Rik",2,2,2,"2700038C09Rik"
"Rgag4",7,7,7,"Rgag4"
"Pcsk4",7,7,7,"Pcsk4"
"Nrp1",1,1,1,"Nrp1"
"Ahnak",7,7,7,"Ahnak"
"Igfl3",1,1,1,"Igfl3"
"Hnrpdl",8,8,8,"Hnrpdl"
"Cln6",4,4,4,"Cln6"
"Insl3",7,7,7,"Insl3"
"B3galnt1",1,1,1,"B3galnt1"
"Snapc3",8,8,8,"Snapc3"
"Aurka",4,4,4,"Aurka"
"Vezf1",8,8,8,"Vezf1"
"Osgin1",8,8,8,"Osgin1"
"Tex2",2,2,2,"Tex2"
"D330045A20Rik",7,7,7,"D330045A20Rik"
"Lgals9",1,1,1,"Lgals9"
"Asah1.1",4,4,4,"Asah1.1"
"Zfp219",3,3,3,"Zfp219"
"Dstn",3,3,3,"Dstn"
"Tmem106a",1,1,1,"Tmem106a"
"4732496O08Rik",5,5,5,"4732496O08Rik"
"Il18rap",1,1,1,"Il18rap"
"Gstt1",1,1,1,"Gstt1"
"Hif1a",4,4,4,"Hif1a"
"Arl11",1,1,1,"Arl11"
"Dnajb5",6,6,6,"Dnajb5"
"2610020O08Rik",2,2,2,"2610020O08Rik"
"Ifi202b",1,1,1,"Ifi202b"
"Rilpl1",4,4,4,"Rilpl1"
"Nagk",2,2,2,"Nagk"
"1500032D16Rik",4,4,4,"1500032D16Rik"
"Acot1",4,4,4,"Acot1"
"Rgs1",3,3,3,"Rgs1"
"Csn2",1,1,1,"Csn2"
"9130005N14Rik",7,7,7,"9130005N14Rik"
"1110049B09Rik",7,7,7,"1110049B09Rik"
"AI427515",7,7,7,"AI427515"
"Usp22",2,2,2,"Usp22"
"Rabgap1l",7,7,7,"Rabgap1l"
"Ifitm1",1,1,1,"Ifitm1"
"EG634650",7,7,7,"EG634650"
"BC006779",5,5,5,"BC006779"
"Gvin1",1,1,1,"Gvin1"
"Bmpr1a",4,4,4,"Bmpr1a"
"Oraov1",5,5,5,"Oraov1"
"Gap43",7,7,7,"Gap43"
"Olfr1330",7,7,7,"Olfr1330"
"Slc2a3",4,4,4,"Slc2a3"
"Cmtm7",4,4,4,"Cmtm7"
"Pde6d",4,4,4,"Pde6d"
"Rab8a",5,5,5,"Rab8a"
"Bbs5",3,3,3,"Bbs5"
"BC094916",5,5,5,"BC094916"
"Thex1",7,7,7,"Thex1"
"Centa1.1",4,4,4,"Centa1.1"
"Fbxo21",2,2,2,"Fbxo21"
"Brd8",8,8,8,"Brd8"
"Lmf2",4,4,4,"Lmf2"
"Aldh6a1",2,2,2,"Aldh6a1"
"Lgals3",1,1,1,"Lgals3"
"Hnrpul1",4,4,4,"Hnrpul1"
"Nin",5,5,5,"Nin"
"Krtcap2",4,4,4,"Krtcap2"
"Vrk1",3,3,3,"Vrk1"
"Fbxo28",5,5,5,"Fbxo28"
"AI451557",5,5,5,"AI451557"
"D14Ertd668e",1,1,1,"D14Ertd668e"
"Nucb1",7,7,7,"Nucb1"
"Rab6ip1",7,7,7,"Rab6ip1"
"Cdipt",6,6,6,"Cdipt"
"Lrp12",7,7,7,"Lrp12"
"Papss1",2,2,2,"Papss1"
"Dync1li2",6,6,6,"Dync1li2"
"Ggt7",7,7,7,"Ggt7"
"Slc37a4",4,4,4,"Slc37a4"
"Cyp4f16",2,2,2,"Cyp4f16"
"Sp140",1,1,1,"Sp140"
"A430005L14Rik",6,6,6,"A430005L14Rik"
"Hsf4",2,2,2,"Hsf4"
"1500012F01Rik",1,1,1,"1500012F01Rik"
"Ube2q1",1,1,1,"Ube2q1"
"Isg20",1,1,1,"Isg20"
"Tulp3",2,2,2,"Tulp3"
"Ift57.1",3,3,3,"Ift57.1"
"Scotin",1,1,1,"Scotin"
"Ech1",2,2,2,"Ech1"
"Supt3h",4,4,4,"Supt3h"
"Casc5",4,4,4,"Casc5"
"Tmed4",7,7,7,"Tmed4"
"Tmem127",5,5,5,"Tmem127"
"Wdr31",3,3,3,"Wdr31"
"Rbpj",4,4,4,"Rbpj"
"Uhrf2",5,5,5,"Uhrf2"
"Rab3a",2,2,2,"Rab3a"
"5230400G24Rik",3,3,3,"5230400G24Rik"
"Trim34",1,1,1,"Trim34"
"Ly6f",1,1,1,"Ly6f"
"Pon3.1",4,4,4,"Pon3.1"
"Extl3.1",6,6,6,"Extl3.1"
"4930453N24Rik",2,2,2,"4930453N24Rik"
"Ccnd3",1,1,1,"Ccnd3"
"Akr1c18",7,7,7,"Akr1c18"
"Cst6",6,6,6,"Cst6"
"Smtn",7,7,7,"Smtn"
"Nsmce2",4,4,4,"Nsmce2"
"Sobp",7,7,7,"Sobp"
"Ecm1",7,7,7,"Ecm1"
"Arrb1",2,2,2,"Arrb1"
"Nelf",7,7,7,"Nelf"
"BC030307",4,4,4,"BC030307"
"Ptdss2",3,3,3,"Ptdss2"
"Mlkl",1,1,1,"Mlkl"
"Dmwd",4,4,4,"Dmwd"
"Acsl6",1,1,1,"Acsl6"
"Pkn1",2,2,2,"Pkn1"
"C530028O21Rik",2,2,2,"C530028O21Rik"
"Gorasp1",8,8,8,"Gorasp1"
"4931406C07Rik",4,4,4,"4931406C07Rik"
"Hemk1",7,7,7,"Hemk1"
"Rapgef3",1,1,1,"Rapgef3"
"Cnrip1",2,2,2,"Cnrip1"
"Slc25a12",2,2,2,"Slc25a12"
"Eif4enif1",3,3,3,"Eif4enif1"
"BC023814",8,8,8,"BC023814"
"Ifi202b.1",1,1,1,"Ifi202b.1"
"F2rl2",7,7,7,"F2rl2"
"Pou4f1.1",3,3,3,"Pou4f1.1"
"Tmem132a",3,3,3,"Tmem132a"
"Hmgn3",3,3,3,"Hmgn3"
"Cs",3,3,3,"Cs"
"Anxa1",1,1,1,"Anxa1"
"Hscb",4,4,4,"Hscb"
"Txnl4a",6,6,6,"Txnl4a"
"Tubb6",4,4,4,"Tubb6"
"Atp9a",8,8,8,"Atp9a"
"Ccdc92",2,2,2,"Ccdc92"
"Fignl1",3,3,3,"Fignl1"
"Slc22a21",4,4,4,"Slc22a21"
"Zfp30",2,2,2,"Zfp30"
"Elovl6",1,1,1,"Elovl6"
"Ifit3",1,1,1,"Ifit3"
"Mapk13",1,1,1,"Mapk13"
"H2-Oa",7,7,7,"H2-Oa"
"Ilkap",6,6,6,"Ilkap"
"Tfg",7,7,7,"Tfg"
"Mdm1.2",4,4,4,"Mdm1.2"
"Ube2v1",4,4,4,"Ube2v1"
"Slc10a7",4,4,4,"Slc10a7"
"Ankrd13c",6,6,6,"Ankrd13c"
"E2f2",2,2,2,"E2f2"
"Pik3ap1",1,1,1,"Pik3ap1"
"H2afj",6,6,6,"H2afj"
"Ube2q2",7,7,7,"Ube2q2"
"Llgl1",5,5,5,"Llgl1"
"Slc6a6",6,6,6,"Slc6a6"
"Sema3b",1,1,1,"Sema3b"
"Zfp142.1",6,6,6,"Zfp142.1"
"Armcx1",7,7,7,"Armcx1"
"Immt",3,3,3,"Immt"
"Atp2a1",2,2,2,"Atp2a1"
"Egln1",4,4,4,"Egln1"
"Tle6",4,4,4,"Tle6"
"Mettl4",3,3,3,"Mettl4"
"Prc1",4,4,4,"Prc1"
"Tirap",4,4,4,"Tirap"
"Tax1bp3",2,2,2,"Tax1bp3"
"Trat1",8,8,8,"Trat1"
"Arrb1.1",2,2,2,"Arrb1.1"
"Sdcbp2",1,1,1,"Sdcbp2"
"Lilrb4.1",7,7,7,"Lilrb4.1"
"AA407659.1",2,2,2,"AA407659.1"
"Myom1",7,7,7,"Myom1"
"Dhdh",4,4,4,"Dhdh"
"1500032L24Rik",4,4,4,"1500032L24Rik"
"Sh2b1",2,2,2,"Sh2b1"
"Fgf2",3,3,3,"Fgf2"
"Sh3yl1",4,4,4,"Sh3yl1"
"Gnb5",1,1,1,"Gnb5"
"Slc6a13",1,1,1,"Slc6a13"
"A230067G21Rik",8,8,8,"A230067G21Rik"
"Eif2ak2",1,1,1,"Eif2ak2"
"Saps2",7,7,7,"Saps2"
"Ltbp1",7,7,7,"Ltbp1"
"Oasl1.1",1,1,1,"Oasl1.1"
"Med11",6,6,6,"Med11"
"Lsm12.1",3,3,3,"Lsm12.1"
"Ifitm2",1,1,1,"Ifitm2"
"Gzf1",4,4,4,"Gzf1"
"Zfp2",3,3,3,"Zfp2"
"BC057079",7,7,7,"BC057079"
"Tmem35",3,3,3,"Tmem35"
"Ap2b1",5,5,5,"Ap2b1"
"Snai3",4,4,4,"Snai3"
"Tmprss6",4,4,4,"Tmprss6"
"Ntrk3",8,8,8,"Ntrk3"
"Eif4e3",2,2,2,"Eif4e3"
"H2-DMa.1",7,7,7,"H2-DMa.1"
"Capsl",3,3,3,"Capsl"
"Cables1",7,7,7,"Cables1"
"C1qdc2",7,7,7,"C1qdc2"
"2510009E07Rik",5,5,5,"2510009E07Rik"
"Hc",7,7,7,"Hc"
"Lrp11",3,3,3,"Lrp11"
"Hprt1",3,3,3,"Hprt1"
"Arl6",3,3,3,"Arl6"
"Sdcbp2.1",1,1,1,"Sdcbp2.1"
"4930486L24Rik",1,1,1,"4930486L24Rik"
"Rpl4",3,3,3,"Rpl4"
"Pkp2",4,4,4,"Pkp2"
"S100a1",7,7,7,"S100a1"
"Sgol1",4,4,4,"Sgol1"
"Apoc4",7,7,7,"Apoc4"
"Fcrls",7,7,7,"Fcrls"
"D17Wsu92e",1,1,1,"D17Wsu92e"
"Tmem71",5,5,5,"Tmem71"
"Morc3",5,5,5,"Morc3"
"Ppt1",7,7,7,"Ppt1"
"4930539E08Rik",1,1,1,"4930539E08Rik"
"1700019E19Rik",1,1,1,"1700019E19Rik"
"Cenpf",4,4,4,"Cenpf"
"Nsdhl",4,4,4,"Nsdhl"
"Mospd1",8,8,8,"Mospd1"
"Plcxd1.1",4,4,4,"Plcxd1.1"
"Krt18",7,7,7,"Krt18"
"Tmem33.1",3,3,3,"Tmem33.1"
"B230317C12Rik",4,4,4,"B230317C12Rik"
"Cryz",4,4,4,"Cryz"
"Setdb2",6,6,6,"Setdb2"
"Ccr8",3,3,3,"Ccr8"
"2610027C15Rik",2,2,2,"2610027C15Rik"
"Wasl",8,8,8,"Wasl"
"Lyrm1",3,3,3,"Lyrm1"
"EG330305",7,7,7,"EG330305"
"Tmem50b.1",8,8,8,"Tmem50b.1"
"Atp6v0e2",4,4,4,"Atp6v0e2"
"Pde6d.1",4,4,4,"Pde6d.1"
"Acvr1c",1,1,1,"Acvr1c"
"Akr1c12",4,4,4,"Akr1c12"
"Mta2",6,6,6,"Mta2"
"Pygl",1,1,1,"Pygl"
"Poli",1,1,1,"Poli"
"Acp6",4,4,4,"Acp6"
"Emr1",7,7,7,"Emr1"
"Dpysl2",1,1,1,"Dpysl2"
"Zfp821",4,4,4,"Zfp821"
"Id2",7,7,7,"Id2"
"Wipi1.1",4,4,4,"Wipi1.1"
"Itpk1",5,5,5,"Itpk1"
"Exoc1",5,5,5,"Exoc1"
"C78339",7,7,7,"C78339"
"Cuedc1",7,7,7,"Cuedc1"
"Dab2ip",3,3,3,"Dab2ip"
"Scand1",2,2,2,"Scand1"
"Serpina3g",3,3,3,"Serpina3g"
"Upp1",1,1,1,"Upp1"
"Cdca3",4,4,4,"Cdca3"
"Rpl12",8,8,8,"Rpl12"
"Smpd1",2,2,2,"Smpd1"
"9530096D07Rik",4,4,4,"9530096D07Rik"
"Gnpda1",3,3,3,"Gnpda1"
"Espl1",4,4,4,"Espl1"
"Lgals6",2,2,2,"Lgals6"
"Gyg",4,4,4,"Gyg"
"Mxi1",7,7,7,"Mxi1"
"Dab2.1",7,7,7,"Dab2.1"
"Cdk5rap1",6,6,6,"Cdk5rap1"
"Rxra",4,4,4,"Rxra"
"Xpr1",8,8,8,"Xpr1"
"Prdm16.1",4,4,4,"Prdm16.1"
"4933439C20Rik",8,8,8,"4933439C20Rik"
"Dcun1d3",5,5,5,"Dcun1d3"
"Tnnc1",1,1,1,"Tnnc1"
"Brf2",3,3,3,"Brf2"
"Snx25",3,3,3,"Snx25"
"Aftph",6,6,6,"Aftph"
"Ankfy1",5,5,5,"Ankfy1"
"Edem2",2,2,2,"Edem2"
"Hexdc",7,7,7,"Hexdc"
"Psd3",8,8,8,"Psd3"
"Pip5k1b",7,7,7,"Pip5k1b"
"Mov10",1,1,1,"Mov10"
"Rab6",8,8,8,"Rab6"
"H2afx",4,4,4,"H2afx"
"Six5",4,4,4,"Six5"
"Arfgap3",2,2,2,"Arfgap3"
"Slc16a3",4,4,4,"Slc16a3"
"Slc10a4",7,7,7,"Slc10a4"
"Kcnk10",3,3,3,"Kcnk10"
"Plekha8",3,3,3,"Plekha8"
"Eno2",4,4,4,"Eno2"
"Lrp8",3,3,3,"Lrp8"
"Unc13b",3,3,3,"Unc13b"
"Mllt3.1",2,2,2,"Mllt3.1"
"Rap2ip",1,1,1,"Rap2ip"
"Icmt",3,3,3,"Icmt"
"Arl8a",7,7,7,"Arl8a"
"Zfp316",2,2,2,"Zfp316"
"BC029214",8,8,8,"BC029214"
"Pank2",1,1,1,"Pank2"
"Trim30",1,1,1,"Trim30"
"Tigd2",4,4,4,"Tigd2"
"Spint2",4,4,4,"Spint2"
"Spp1",1,1,1,"Spp1"
"Angel2",6,6,6,"Angel2"
"Chfr.1",2,2,2,"Chfr.1"
"Arhgef9",4,4,4,"Arhgef9"
"Ap2s1",4,4,4,"Ap2s1"
"1700027N10Rik",1,1,1,"1700027N10Rik"
"Dppa2",7,7,7,"Dppa2"
"Ckap5",4,4,4,"Ckap5"
"Casp8",5,5,5,"Casp8"
"Ate1",6,6,6,"Ate1"
"Idh1",2,2,2,"Idh1"
"Anln",4,4,4,"Anln"
"Olfml3",1,1,1,"Olfml3"
"Gtf3c2",2,2,2,"Gtf3c2"
"Terf2",8,8,8,"Terf2"
"Grhpr",4,4,4,"Grhpr"
"Cep152",1,1,1,"Cep152"
"Ddx49",7,7,7,"Ddx49"
"Pard6g",7,7,7,"Pard6g"
"Napepld",2,2,2,"Napepld"
"Dock6",4,4,4,"Dock6"
"Rnf26",4,4,4,"Rnf26"
"Rgs3",5,5,5,"Rgs3"
"Mkrn1",2,2,2,"Mkrn1"
"1200014J11Rik",4,4,4,"1200014J11Rik"
"Vamp4",2,2,2,"Vamp4"
"Ipmk",3,3,3,"Ipmk"
"Ddit3",7,7,7,"Ddit3"
"Aqp1",7,7,7,"Aqp1"
"Mxra8",5,5,5,"Mxra8"
"Msc",1,1,1,"Msc"
"Ralb",3,3,3,"Ralb"
"Cryz.1",4,4,4,"Cryz.1"
"Srp72",4,4,4,"Srp72"
"Psme2",3,3,3,"Psme2"
"Syngr1.1",4,4,4,"Syngr1.1"
"Egln2",8,8,8,"Egln2"
"Pfkm",4,4,4,"Pfkm"
"Tm2d2",4,4,4,"Tm2d2"
"Nupr1",1,1,1,"Nupr1"
"Sept10.1",4,4,4,"Sept10.1"
"P2ry14",1,1,1,"P2ry14"
"Wbp1",2,2,2,"Wbp1"
"Ccr5",1,1,1,"Ccr5"
"Trp53i11",7,7,7,"Trp53i11"
"Tns4",1,1,1,"Tns4"
"Fbxo6",1,1,1,"Fbxo6"
"Nde1.1",2,2,2,"Nde1.1"
"Pi4ka.1",6,6,6,"Pi4ka.1"
"Vldlr",4,4,4,"Vldlr"
"Mllt4",7,7,7,"Mllt4"
"2010001J22Rik",7,7,7,"2010001J22Rik"
"Pcsk4.1",7,7,7,"Pcsk4.1"
"Hist1h2bn",1,1,1,"Hist1h2bn"
"2610020H08Rik",1,1,1,"2610020H08Rik"
"Scotin.1",5,5,5,"Scotin.1"
"2210404O07Rik",1,1,1,"2210404O07Rik"
"Ezh2.1",4,4,4,"Ezh2.1"
"Oaz3",6,6,6,"Oaz3"
"Il8rb",1,1,1,"Il8rb"
"Mrs2",3,3,3,"Mrs2"
"Zhx1.1",7,7,7,"Zhx1.1"
"Pkn3",3,3,3,"Pkn3"
"2310056P07Rik",4,4,4,"2310056P07Rik"
"BC011487",7,7,7,"BC011487"
"Rtkn2",4,4,4,"Rtkn2"
"Il4",7,7,7,"Il4"
"Stra6",4,4,4,"Stra6"
"Bmp2k.1",2,2,2,"Bmp2k.1"
"Stambp",4,4,4,"Stambp"
"1700019D03Rik",3,3,3,"1700019D03Rik"
"Gpt2",3,3,3,"Gpt2"
"Parp12",1,1,1,"Parp12"
"6720463M24Rik",4,4,4,"6720463M24Rik"
"Nusap1",4,4,4,"Nusap1"
"Plscr1",3,3,3,"Plscr1"
"1700029P11Rik",4,4,4,"1700029P11Rik"
"Phf11",1,1,1,"Phf11"
"Arrb1.2",2,2,2,"Arrb1.2"
"Arbp",3,3,3,"Arbp"
"Akr1b3",6,6,6,"Akr1b3"
"Fkbp1a",7,7,7,"Fkbp1a"
"Cd70",3,3,3,"Cd70"
"Ryk",3,3,3,"Ryk"
"Maml3",7,7,7,"Maml3"
"LOC547343",1,1,1,"LOC547343"
"1110031I02Rik",7,7,7,"1110031I02Rik"
"Rnf170",1,1,1,"Rnf170"
"Sypl",4,4,4,"Sypl"
"Lrrc16b",7,7,7,"Lrrc16b"
"Surf4",7,7,7,"Surf4"
"Tbc1d23",7,7,7,"Tbc1d23"
"Rgs3.1",2,2,2,"Rgs3.1"
"Smpd1.1",2,2,2,"Smpd1.1"
"2010305C02Rik",4,4,4,"2010305C02Rik"
"BC038156",8,8,8,"BC038156"
"Hist1h2bb",1,1,1,"Hist1h2bb"
"2010001J22Rik.1",7,7,7,"2010001J22Rik.1"
"Wasf1",7,7,7,"Wasf1"
"Tln2",3,3,3,"Tln2"
"Cd99l2",2,2,2,"Cd99l2"
"Prkar1b",1,1,1,"Prkar1b"
"Nrm",4,4,4,"Nrm"
"Atg2a",8,8,8,"Atg2a"
"Lama5",7,7,7,"Lama5"
"Stbd1",4,4,4,"Stbd1"
"4831426I19Rik.1",4,4,4,"4831426I19Rik.1"
"St6gal1",2,2,2,"St6gal1"
"Epm2aip1",8,8,8,"Epm2aip1"
"Mpi",3,3,3,"Mpi"
"C85492",3,3,3,"C85492"
"Snx6",1,1,1,"Snx6"
"Wdr59",3,3,3,"Wdr59"
"Dscr2",3,3,3,"Dscr2"
"Ptpn9",1,1,1,"Ptpn9"
"Rab19",1,1,1,"Rab19"
"Spats1",1,1,1,"Spats1"
"Slc2a8",4,4,4,"Slc2a8"
"Copz2.2",4,4,4,"Copz2.2"
"Cd6.2",6,6,6,"Cd6.2"
"Rnf113a2",1,1,1,"Rnf113a2"
"Pvrl2.1",7,7,7,"Pvrl2.1"
"Stk32c",4,4,4,"Stk32c"
"Micall2",7,7,7,"Micall2"
"Dnajc15",3,3,3,"Dnajc15"
"Dysf",7,7,7,"Dysf"
"Trpc4ap",7,7,7,"Trpc4ap"
"Ntrk3.1",7,7,7,"Ntrk3.1"
"D330045A20Rik.1",7,7,7,"D330045A20Rik.1"
"Mtmr3",1,1,1,"Mtmr3"
"Acadsb",7,7,7,"Acadsb"
"Serpina3h",4,4,4,"Serpina3h"
"D030074E01Rik",8,8,8,"D030074E01Rik"
"Ndrg2",4,4,4,"Ndrg2"
"Tk1",4,4,4,"Tk1"
"Wtip",7,7,7,"Wtip"
"H1fx",4,4,4,"H1fx"
"Hist1h1b",1,1,1,"Hist1h1b"
"Tmem121",4,4,4,"Tmem121"
"6430571L13Rik",7,7,7,"6430571L13Rik"
"Zcchc6",7,7,7,"Zcchc6"
"Glud1",4,4,4,"Glud1"
"Rnf213",5,5,5,"Rnf213"
"Mre11a",3,3,3,"Mre11a"
