"","c1","c2","c3","gene"
"Gtse1",4,4,4,"Gtse1"
"LOC626578",1,1,1,"LOC626578"
"Wbp2",2,2,2,"Wbp2"
"Nusap1.1",4,4,4,"Nusap1.1"
"Ddit3.1",7,7,7,"Ddit3.1"
"Mzf1",4,4,4,"Mzf1"
"Trip12",8,8,8,"Trip12"
"Pla2g12a",4,4,4,"Pla2g12a"
"6030408C04Rik",4,4,4,"6030408C04Rik"
"Cox6a1",4,4,4,"Cox6a1"
"D030070L09Rik",3,3,3,"D030070L09Rik"
"D10Bwg1379e",7,7,7,"D10Bwg1379e"
"5133400G04Rik",4,4,4,"5133400G04Rik"
"Xpnpep1.2",4,4,4,"Xpnpep1.2"
"Oas1c",5,5,5,"Oas1c"
"Gstm5",4,4,4,"Gstm5"
"Ctsw",5,5,5,"Ctsw"
"2610524H06Rik",1,1,1,"2610524H06Rik"
"Ipmk.1",3,3,3,"Ipmk.1"
"Mod1",1,1,1,"Mod1"
"Mare",6,6,6,"Mare"
"Tlr7",1,1,1,"Tlr7"
"Mtmr3.1",1,1,1,"Mtmr3.1"
"Alg8",6,6,6,"Alg8"
"Cd86.1",5,5,5,"Cd86.1"
"Socs3",5,5,5,"Socs3"
"Ripk4",7,7,7,"Ripk4"
"Hrbl",2,2,2,"Hrbl"
"2610208M17Rik",1,1,1,"2610208M17Rik"
"Atp2b4",1,1,1,"Atp2b4"
"Dscr1l2",2,2,2,"Dscr1l2"
"Cdc20",4,4,4,"Cdc20"
"Gnb4",1,1,1,"Gnb4"
"Hdac3",3,3,3,"Hdac3"
"Fth1",8,8,8,"Fth1"
"Hap1.1",4,4,4,"Hap1.1"
"Cnot4",8,8,8,"Cnot4"
"Pet112l",3,3,3,"Pet112l"
"Camk2n1",4,4,4,"Camk2n1"
"Foxm1",4,4,4,"Foxm1"
"Usp18",1,1,1,"Usp18"
"Sgol1.1",4,4,4,"Sgol1.1"
"Zbp1",1,1,1,"Zbp1"
"Lancl1",2,2,2,"Lancl1"
"Ly9",6,6,6,"Ly9"
"Matk",4,4,4,"Matk"
"Slc39a8",4,4,4,"Slc39a8"
"Cd40.1",1,1,1,"Cd40.1"
"Ccni",2,2,2,"Ccni"
"Atxn7l1",7,7,7,"Atxn7l1"
"Ccna2",4,4,4,"Ccna2"
"Adc",4,4,4,"Adc"
"Sart3",6,6,6,"Sart3"
"Plekhf1",4,4,4,"Plekhf1"
"Ascc1",2,2,2,"Ascc1"
"Mest",7,7,7,"Mest"
"Zbp1.1",1,1,1,"Zbp1.1"
"Vim",2,2,2,"Vim"
"Ly6a",1,1,1,"Ly6a"
"Susd3",2,2,2,"Susd3"
"BC094916.1",5,5,5,"BC094916.1"
"Fgd1",7,7,7,"Fgd1"
"Jmjd2b",2,2,2,"Jmjd2b"
"Sorcs2",1,1,1,"Sorcs2"
"Aldoa",4,4,4,"Aldoa"
"1190007F08Rik",4,4,4,"1190007F08Rik"
"Slc35d2",5,5,5,"Slc35d2"
"Ccl5",1,1,1,"Ccl5"
"Alg8.1",3,3,3,"Alg8.1"
"BC049806.2",8,8,8,"BC049806.2"
"LOC667250",4,4,4,"LOC667250"
"Ecm1.1",7,7,7,"Ecm1.1"
"Paip2",4,4,4,"Paip2"
"Ufsp2",4,4,4,"Ufsp2"
"6430706D22Rik",4,4,4,"6430706D22Rik"
"3000004C01Rik",4,4,4,"3000004C01Rik"
"Foxj3",6,6,6,"Foxj3"
"Nat2",2,2,2,"Nat2"
"Guca1a",4,4,4,"Guca1a"
"Sppl3",8,8,8,"Sppl3"
"LOC56628",5,5,5,"LOC56628"
"Palld",5,5,5,"Palld"
"Haao",4,4,4,"Haao"
"Dnalc1",4,4,4,"Dnalc1"
"Dynlt3",4,4,4,"Dynlt3"
"Atp8b4",5,5,5,"Atp8b4"
"Prickle3",2,2,2,"Prickle3"
"Ankrd37",4,4,4,"Ankrd37"
"Pank4",8,8,8,"Pank4"
"Iqgap3",4,4,4,"Iqgap3"
"Acsl6.2",1,1,1,"Acsl6.2"
"Serhl",4,4,4,"Serhl"
"7530404M11Rik",7,7,7,"7530404M11Rik"
"Itgb5",7,7,7,"Itgb5"
"Bcar1",4,4,4,"Bcar1"
"Serinc3",2,2,2,"Serinc3"
"Igfl3.1",1,1,1,"Igfl3.1"
"Mov10.1",1,1,1,"Mov10.1"
"2310008H04Rik",4,4,4,"2310008H04Rik"
"Ralgds",4,4,4,"Ralgds"
"Fzr1.1",4,4,4,"Fzr1.1"
"Nuak2",6,6,6,"Nuak2"
"Batf3",7,7,7,"Batf3"
"Mcm2",3,3,3,"Mcm2"
"Lrpap1",2,2,2,"Lrpap1"
"a",7,7,7,"a"
"Rab34",4,4,4,"Rab34"
"B230317C12Rik.1",4,4,4,"B230317C12Rik.1"
"Itga7",2,2,2,"Itga7"
"4632417K18Rik",1,1,1,"4632417K18Rik"
"Ccr5.1",1,1,1,"Ccr5.1"
"Rpusd4",8,8,8,"Rpusd4"
"Phf15",3,3,3,"Phf15"
"Fbxw17",1,1,1,"Fbxw17"
"Klhl26",2,2,2,"Klhl26"
"Nampt",3,3,3,"Nampt"
"Gtse1.1",4,4,4,"Gtse1.1"
"Casp6",4,4,4,"Casp6"
"Rasl12",4,4,4,"Rasl12"
"Plek",3,3,3,"Plek"
"Camk2g",2,2,2,"Camk2g"
"Marcks",4,4,4,"Marcks"
"Cdca2",4,4,4,"Cdca2"
"Tpd52.1",7,7,7,"Tpd52.1"
"1810030N24Rik",6,6,6,"1810030N24Rik"
"Thoc4",3,3,3,"Thoc4"
"Hdac5",2,2,2,"Hdac5"
"Anxa9",1,1,1,"Anxa9"
"Mta3.1",2,2,2,"Mta3.1"
"Kbtbd7.1",5,5,5,"Kbtbd7.1"
"Nts",7,7,7,"Nts"
"Pard6a",4,4,4,"Pard6a"
"Tnfrsf8",4,4,4,"Tnfrsf8"
"Golga2",8,8,8,"Golga2"
"Cacnb3.2",1,1,1,"Cacnb3.2"
"Zdhhc8.1",2,2,2,"Zdhhc8.1"
"Foxq1",7,7,7,"Foxq1"
"Aup1",6,6,6,"Aup1"
"Optn",7,7,7,"Optn"
"5133400G04Rik.1",4,4,4,"5133400G04Rik.1"
"Slc13a3",3,3,3,"Slc13a3"
"Mfn1",4,4,4,"Mfn1"
"Sdcbp2.2",1,1,1,"Sdcbp2.2"
"G3bp2.2",5,5,5,"G3bp2.2"
"Cdk6",7,7,7,"Cdk6"
"Tbc1d8",7,7,7,"Tbc1d8"
"Whsc1l1",2,2,2,"Whsc1l1"
"H2-M3",5,5,5,"H2-M3"
"2810407C02Rik.1",5,5,5,"2810407C02Rik.1"
"Basp1",7,7,7,"Basp1"
"Dnajc10.1",7,7,7,"Dnajc10.1"
"Hprt1.1",3,3,3,"Hprt1.1"
"Dap3",3,3,3,"Dap3"
"Ssh3",2,2,2,"Ssh3"
"Stard10",7,7,7,"Stard10"
"Matk.1",2,2,2,"Matk.1"
"Hexb",2,2,2,"Hexb"
"Zxdc.1",6,6,6,"Zxdc.1"
"Casp1",1,1,1,"Casp1"
"Galnt3",3,3,3,"Galnt3"
"Tmem199",3,3,3,"Tmem199"
"Phlda3.1",7,7,7,"Phlda3.1"
"Gsdmdc1.1",5,5,5,"Gsdmdc1.1"
"2310047M10Rik",4,4,4,"2310047M10Rik"
"Kifap3.2",3,3,3,"Kifap3.2"
"Mrpl33",3,3,3,"Mrpl33"
"Sumo1",3,3,3,"Sumo1"
"Ppm1k",1,1,1,"Ppm1k"
"Gpr146.1",2,2,2,"Gpr146.1"
"Psmd9.1",3,3,3,"Psmd9.1"
"Jmjd2b.1",2,2,2,"Jmjd2b.1"
"Sdf4",2,2,2,"Sdf4"
"Cmtm7.1",4,4,4,"Cmtm7.1"
"S100a13",7,7,7,"S100a13"
"Ebp",1,1,1,"Ebp"
"Suhw4.1",6,6,6,"Suhw4.1"
"Lrrc16b.1",7,7,7,"Lrrc16b.1"
"Pde6d.2",4,4,4,"Pde6d.2"
"Smg6",8,8,8,"Smg6"
"Pkn2.2",3,3,3,"Pkn2.2"
"Epm2aip1.3",8,8,8,"Epm2aip1.3"
"Tnfrsf10b.2",3,3,3,"Tnfrsf10b.2"
"Faim3",2,2,2,"Faim3"
"Dlg4",2,2,2,"Dlg4"
"Xpr1.1",8,8,8,"Xpr1.1"
"Cenpl",4,4,4,"Cenpl"
"Prdx4",4,4,4,"Prdx4"
"Grn",2,2,2,"Grn"
"Luzp1",1,1,1,"Luzp1"
"Fzr1.2",4,4,4,"Fzr1.2"
"Clic4",3,3,3,"Clic4"
"Calr3",3,3,3,"Calr3"
"Atg2a.1",8,8,8,"Atg2a.1"
"Sln",7,7,7,"Sln"
"1700066B19Rik",1,1,1,"1700066B19Rik"
"AI747699",6,6,6,"AI747699"
"2700081O15Rik",3,3,3,"2700081O15Rik"
"Dock3",7,7,7,"Dock3"
"5430432M24Rik.1",2,2,2,"5430432M24Rik.1"
"Vegfa",4,4,4,"Vegfa"
"Ccdc109a",3,3,3,"Ccdc109a"
"Sra1.1",4,4,4,"Sra1.1"
"Nedd1",7,7,7,"Nedd1"
"Senp7",7,7,7,"Senp7"
"Centg2",4,4,4,"Centg2"
"Egfl7.1",3,3,3,"Egfl7.1"
"Pus10.1",3,3,3,"Pus10.1"
"Egfl7.2",3,3,3,"Egfl7.2"
"Cd79b",8,8,8,"Cd79b"
"Tbc1d7.1",3,3,3,"Tbc1d7.1"
"Ifrg15",4,4,4,"Ifrg15"
"Cd79b.1",8,8,8,"Cd79b.1"
"Aven",6,6,6,"Aven"
"Kcnab3",7,7,7,"Kcnab3"
"B230217C12Rik",4,4,4,"B230217C12Rik"
"Serhl.1",4,4,4,"Serhl.1"
"Neurl2",3,3,3,"Neurl2"
"Ikzf1",6,6,6,"Ikzf1"
"Gemin6",3,3,3,"Gemin6"
"4932418E24Rik",3,3,3,"4932418E24Rik"
"Aldh5a1",4,4,4,"Aldh5a1"
"Ak2.2",3,3,3,"Ak2.2"
"Cdkn1a",4,4,4,"Cdkn1a"
"Saps2.1",7,7,7,"Saps2.1"
"Il12a",3,3,3,"Il12a"
"Ebi3",4,4,4,"Ebi3"
"D5Ertd579e",6,6,6,"D5Ertd579e"
"Krt10",6,6,6,"Krt10"
"Mvd",4,4,4,"Mvd"
"Bst2",1,1,1,"Bst2"
"Mitd1",5,5,5,"Mitd1"
"Kif1b.2",6,6,6,"Kif1b.2"
"9630058J23Rik",2,2,2,"9630058J23Rik"
"Rabgap1l.1",7,7,7,"Rabgap1l.1"
"Unc93b1",2,2,2,"Unc93b1"
"Pxmp4",4,4,4,"Pxmp4"
"Arpc1a",3,3,3,"Arpc1a"
"Pigz",1,1,1,"Pigz"
"Llgl1.1",5,5,5,"Llgl1.1"
"Trim44",6,6,6,"Trim44"
"Ccdc111",2,2,2,"Ccdc111"
"Rab6.1",4,4,4,"Rab6.1"
"Ppib",2,2,2,"Ppib"
"2310005E10Rik",2,2,2,"2310005E10Rik"
"2010200O16Rik",8,8,8,"2010200O16Rik"
"Xpnpep1.3",4,4,4,"Xpnpep1.3"
"Cyp4f18",5,5,5,"Cyp4f18"
"Ccr5.2",1,1,1,"Ccr5.2"
"Tpst1",3,3,3,"Tpst1"
"Zfp82",6,6,6,"Zfp82"
"Npc1",2,2,2,"Npc1"
"Psme4",4,4,4,"Psme4"
"Katnb1.1",4,4,4,"Katnb1.1"
"Ppp3ca",5,5,5,"Ppp3ca"
"Lancl1.1",2,2,2,"Lancl1.1"
"Acvr2b",7,7,7,"Acvr2b"
"Grina",2,2,2,"Grina"
"Mdfic",3,3,3,"Mdfic"
"Spag5",4,4,4,"Spag5"
"Tmem38b",3,3,3,"Tmem38b"
"Ccnb1",4,4,4,"Ccnb1"
"Higd1a",4,4,4,"Higd1a"
"Tpcn2",6,6,6,"Tpcn2"
"Sgcb.1",3,3,3,"Sgcb.1"
"Ms4a6d",1,1,1,"Ms4a6d"
"R3hdm1",2,2,2,"R3hdm1"
"6720467C03Rik",3,3,3,"6720467C03Rik"
"Wipi2",8,8,8,"Wipi2"
"Pcdhgb4",4,4,4,"Pcdhgb4"
"Slc2a8.1",7,7,7,"Slc2a8.1"
"Osbpl3",7,7,7,"Osbpl3"
"1190005I06Rik",3,3,3,"1190005I06Rik"
"Tmem108",2,2,2,"Tmem108"
"Dok1.1",1,1,1,"Dok1.1"
"Rhoq",3,3,3,"Rhoq"
"Fnip1.1",7,7,7,"Fnip1.1"
"Bcr",4,4,4,"Bcr"
"Cyp4f16.1",2,2,2,"Cyp4f16.1"
"0610011F06Rik",4,4,4,"0610011F06Rik"
"Arpc1a.1",4,4,4,"Arpc1a.1"
"Bmp7",7,7,7,"Bmp7"
"Ddx25",3,3,3,"Ddx25"
"Ttll11",1,1,1,"Ttll11"
"Shh",7,7,7,"Shh"
"Rapgef5",7,7,7,"Rapgef5"
"Adprh",1,1,1,"Adprh"
"Cnksr3",8,8,8,"Cnksr3"
"Chat",3,3,3,"Chat"
"Antxr1",6,6,6,"Antxr1"
"Ccnd3.1",4,4,4,"Ccnd3.1"
"C1qtnf6",2,2,2,"C1qtnf6"
"Gnas.2",4,4,4,"Gnas.2"
"Trip10",4,4,4,"Trip10"
"LOC329575",4,4,4,"LOC329575"
"Amigo1",7,7,7,"Amigo1"
"Tpmt",3,3,3,"Tpmt"
"Pparg",7,7,7,"Pparg"
"Stab1",3,3,3,"Stab1"
"Tbc1d19",4,4,4,"Tbc1d19"
"St14",4,4,4,"St14"
"Cdc25c",4,4,4,"Cdc25c"
"Igf2bp3",1,1,1,"Igf2bp3"
"Rdm1",2,2,2,"Rdm1"
"Fgl2",1,1,1,"Fgl2"
"Ddc",4,4,4,"Ddc"
"Aldh2",4,4,4,"Aldh2"
"Ppapdc2.1",6,6,6,"Ppapdc2.1"
"Rbm4b",8,8,8,"Rbm4b"
"Nat5",3,3,3,"Nat5"
"Ndufc2",3,3,3,"Ndufc2"
"4930573I19Rik",6,6,6,"4930573I19Rik"
"Ankzf1",2,2,2,"Ankzf1"
"Hspa1a",7,7,7,"Hspa1a"
"Fhl2",3,3,3,"Fhl2"
"4930503L19Rik",2,2,2,"4930503L19Rik"
"Olfr571",1,1,1,"Olfr571"
"Spast",3,3,3,"Spast"
"H2-T23",1,1,1,"H2-T23"
"Ddx6",8,8,8,"Ddx6"
"Tmem25",4,4,4,"Tmem25"
"Tec",2,2,2,"Tec"
"Gstt3",3,3,3,"Gstt3"
"Ppm1m.1",2,2,2,"Ppm1m.1"
"Mgll",7,7,7,"Mgll"
"Lgals9.1",1,1,1,"Lgals9.1"
"Ccdc109a.1",3,3,3,"Ccdc109a.1"
"Timd2",4,4,4,"Timd2"
"Abcg2",7,7,7,"Abcg2"
"Nhedc2",3,3,3,"Nhedc2"
"Actr3b",1,1,1,"Actr3b"
"Tbc1d1",2,2,2,"Tbc1d1"
"Smchd1.3",1,1,1,"Smchd1.3"
"Pstpip1",2,2,2,"Pstpip1"
"Tspan6",7,7,7,"Tspan6"
"Lasp1.1",2,2,2,"Lasp1.1"
"Zfp369",7,7,7,"Zfp369"
"Phca",3,3,3,"Phca"
"Cd81",4,4,4,"Cd81"
"Noxo1.1",2,2,2,"Noxo1.1"
"Pqlc3",2,2,2,"Pqlc3"
"Psmb9",4,4,4,"Psmb9"
"Mboat1",2,2,2,"Mboat1"
"Rnf5",2,2,2,"Rnf5"
"Icos",7,7,7,"Icos"
"Ckap2l",4,4,4,"Ckap2l"
"Nkx2-6",7,7,7,"Nkx2-6"
"2310016E02Rik",3,3,3,"2310016E02Rik"
"1810054D07Rik",3,3,3,"1810054D07Rik"
"Rai14.1",4,4,4,"Rai14.1"
"Slc39a4",4,4,4,"Slc39a4"
"H1fx.1",4,4,4,"H1fx.1"
"Csrp3",3,3,3,"Csrp3"
"Uaca",4,4,4,"Uaca"
"Ipmk.2",3,3,3,"Ipmk.2"
"Mpp2",4,4,4,"Mpp2"
"Plod3",3,3,3,"Plod3"
"Cdc25b",7,7,7,"Cdc25b"
"Lemd2",8,8,8,"Lemd2"
"Gypc",6,6,6,"Gypc"
"BC031181",6,6,6,"BC031181"
"Gpx4",4,4,4,"Gpx4"
"Sertad3",2,2,2,"Sertad3"
"Rnf128.1",7,7,7,"Rnf128.1"
"Tfdp2",4,4,4,"Tfdp2"
"4930451C15Rik",4,4,4,"4930451C15Rik"
"Tbc1d2.1",7,7,7,"Tbc1d2.1"
"Dlst",6,6,6,"Dlst"
"Sobp.1",7,7,7,"Sobp.1"
"Ppap2a.1",3,3,3,"Ppap2a.1"
"Ulbp1",4,4,4,"Ulbp1"
"Flot1",2,2,2,"Flot1"
"Gstt2",4,4,4,"Gstt2"
"Ube2c",4,4,4,"Ube2c"
"Zdhhc6",3,3,3,"Zdhhc6"
"Fcrl1",6,6,6,"Fcrl1"
"Fgfr1op2",4,4,4,"Fgfr1op2"
"Ddx58",5,5,5,"Ddx58"
"Zkscan17",7,7,7,"Zkscan17"
"Edem2.1",7,7,7,"Edem2.1"
"Ybx2.1",7,7,7,"Ybx2.1"
"Tmem1",8,8,8,"Tmem1"
"Repin1",7,7,7,"Repin1"
"Serpinf1",7,7,7,"Serpinf1"
"Ypel5",2,2,2,"Ypel5"
"C85492.1",3,3,3,"C85492.1"
"EG240327",1,1,1,"EG240327"
"Flot2.1",7,7,7,"Flot2.1"
"Fbxo2",7,7,7,"Fbxo2"
"Cdkl3",3,3,3,"Cdkl3"
"Lrch1.1",6,6,6,"Lrch1.1"
"Cwf19l1",6,6,6,"Cwf19l1"
"Try10",3,3,3,"Try10"
"Slc9a8.2",6,6,6,"Slc9a8.2"
"Myl4",4,4,4,"Myl4"
"Clcnkb",3,3,3,"Clcnkb"
"Dlg3",2,2,2,"Dlg3"
"Nod1",5,5,5,"Nod1"
"Zfp87.1",5,5,5,"Zfp87.1"
"Soat1",4,4,4,"Soat1"
"Yipf3.1",8,8,8,"Yipf3.1"
"Tcirg1",2,2,2,"Tcirg1"
"Zfp692",4,4,4,"Zfp692"
"Tuba1a",4,4,4,"Tuba1a"
"Mef2c.1",3,3,3,"Mef2c.1"
"Etfdh.1",4,4,4,"Etfdh.1"
"Idh3b",4,4,4,"Idh3b"
"Odf2.1",4,4,4,"Odf2.1"
"Ascc2",4,4,4,"Ascc2"
"Hnrpab",3,3,3,"Hnrpab"
"Vhlh",4,4,4,"Vhlh"
"Rnf208",4,4,4,"Rnf208"
"Bahd1",6,6,6,"Bahd1"
"9630031F12Rik",2,2,2,"9630031F12Rik"
"EG245297.1",1,1,1,"EG245297.1"
"Tubb4",2,2,2,"Tubb4"
"Ccdc126",8,8,8,"Ccdc126"
"Arrb1.3",2,2,2,"Arrb1.3"
"Anp32a.1",4,4,4,"Anp32a.1"
"Gpatch3",6,6,6,"Gpatch3"
"Sqrdl",1,1,1,"Sqrdl"
"Tube1",7,7,7,"Tube1"
"P2rx7.2",5,5,5,"P2rx7.2"
"2900011O08Rik",1,1,1,"2900011O08Rik"
"Sema6b.1",4,4,4,"Sema6b.1"
"Pcyt1b.1",7,7,7,"Pcyt1b.1"
"Efha1",4,4,4,"Efha1"
"Nras",5,5,5,"Nras"
"Hint3.1",1,1,1,"Hint3.1"
"Gnaq.2",1,1,1,"Gnaq.2"
"B430306N03Rik",5,5,5,"B430306N03Rik"
"Dmwd.1",4,4,4,"Dmwd.1"
"Klk4",7,7,7,"Klk4"
"Bcdin3d",6,6,6,"Bcdin3d"
"Mtr",6,6,6,"Mtr"
"Rhog",2,2,2,"Rhog"
"Gtf3c5",3,3,3,"Gtf3c5"
"Itpr2",8,8,8,"Itpr2"
"Syne1.2",7,7,7,"Syne1.2"
"Abtb1",2,2,2,"Abtb1"
"9130206N08Rik",2,2,2,"9130206N08Rik"
"Pml",1,1,1,"Pml"
"Gipc1.1",4,4,4,"Gipc1.1"
"Tcea3",1,1,1,"Tcea3"
"Slc25a24.1",1,1,1,"Slc25a24.1"
"Alg2",3,3,3,"Alg2"
"Ifi44",1,1,1,"Ifi44"
"9530096D07Rik.1",4,4,4,"9530096D07Rik.1"
"Tmem126a",3,3,3,"Tmem126a"
"Nsdhl.1",4,4,4,"Nsdhl.1"
"Papss1.1",2,2,2,"Papss1.1"
"3000004C01Rik.1",4,4,4,"3000004C01Rik.1"
"Prm1",1,1,1,"Prm1"
"BC057371.1",2,2,2,"BC057371.1"
"Yipf2.1",2,2,2,"Yipf2.1"
"Rtkn2.2",4,4,4,"Rtkn2.2"
"1700023B02Rik",7,7,7,"1700023B02Rik"
"Ss18",8,8,8,"Ss18"
"P4hb",4,4,4,"P4hb"
"Mboat5",3,3,3,"Mboat5"
"Zscan12",4,4,4,"Zscan12"
"Golph3l",7,7,7,"Golph3l"
"Fbln1.1",1,1,1,"Fbln1.1"
"Myst4",2,2,2,"Myst4"
"Mapk9",5,5,5,"Mapk9"
"Dnajc5b",7,7,7,"Dnajc5b"
"Casp3",4,4,4,"Casp3"
"Tmem140",5,5,5,"Tmem140"
"Clec11a",4,4,4,"Clec11a"
"Fbxl12",8,8,8,"Fbxl12"
"Fbxo30",7,7,7,"Fbxo30"
"Mbtps1",6,6,6,"Mbtps1"
"Peci",4,4,4,"Peci"
"Emr1.1",7,7,7,"Emr1.1"
"Apoa1bp.1",4,4,4,"Apoa1bp.1"
"Setd8.1",4,4,4,"Setd8.1"
"Fbxo18.1",2,2,2,"Fbxo18.1"
"Tbc1d7.2",3,3,3,"Tbc1d7.2"
"Ddx26b",8,8,8,"Ddx26b"
"H2-T24",1,1,1,"H2-T24"
"Eif3f",2,2,2,"Eif3f"
"H2-Q8",5,5,5,"H2-Q8"
"Ltbp3",4,4,4,"Ltbp3"
"Nampt.1",3,3,3,"Nampt.1"
"Tsc22d1",1,1,1,"Tsc22d1"
"Gnpda1.1",3,3,3,"Gnpda1.1"
"Egln3",4,4,4,"Egln3"
"Necap2",8,8,8,"Necap2"
"Stx7",2,2,2,"Stx7"
"Dync1i2",5,5,5,"Dync1i2"
"Casp8.1",5,5,5,"Casp8.1"
"2610109H07Rik",1,1,1,"2610109H07Rik"
"Slc30a4",1,1,1,"Slc30a4"
"Lonrf3",1,1,1,"Lonrf3"
"1700109H08Rik",8,8,8,"1700109H08Rik"
"1200016B10Rik.1",6,6,6,"1200016B10Rik.1"
"Epsti1",1,1,1,"Epsti1"
"Samd3.1",1,1,1,"Samd3.1"
"Tspo",5,5,5,"Tspo"
"Rtp4",1,1,1,"Rtp4"
"1500012F01Rik.1",1,1,1,"1500012F01Rik.1"
"D14Ertd668e.1",1,1,1,"D14Ertd668e.1"
"Cyb5",7,7,7,"Cyb5"
"Specc1l.1",5,5,5,"Specc1l.1"
"Foxred1.2",3,3,3,"Foxred1.2"
"Phkg2",8,8,8,"Phkg2"
"ORF61",6,6,6,"ORF61"
"Cd86.2",5,5,5,"Cd86.2"
"Dlk1",7,7,7,"Dlk1"
"Insig2.1",4,4,4,"Insig2.1"
"Ifng",3,3,3,"Ifng"
"Rps6ka5.1",7,7,7,"Rps6ka5.1"
"1700025G04Rik",1,1,1,"1700025G04Rik"
"Bcl9.1",6,6,6,"Bcl9.1"
"Asb2",7,7,7,"Asb2"
"Snx12",3,3,3,"Snx12"
"Serf1",7,7,7,"Serf1"
"1810049H13Rik",4,4,4,"1810049H13Rik"
"Rhobtb1",1,1,1,"Rhobtb1"
"2410001C21Rik",2,2,2,"2410001C21Rik"
"Slc25a36.1",2,2,2,"Slc25a36.1"
"Snx9",3,3,3,"Snx9"
"Psmb8",1,1,1,"Psmb8"
"Gm166.1",4,4,4,"Gm166.1"
"Pfkfb4",2,2,2,"Pfkfb4"
"Stc2",4,4,4,"Stc2"
"Lta",1,1,1,"Lta"
"Pfkp.1",4,4,4,"Pfkp.1"
"Pik3r2.1",4,4,4,"Pik3r2.1"
"Nat5.1",3,3,3,"Nat5.1"
"Pnpla2",7,7,7,"Pnpla2"
"Mterfd2.1",3,3,3,"Mterfd2.1"
"8430426H19Rik.1",1,1,1,"8430426H19Rik.1"
"5430435G22Rik",8,8,8,"5430435G22Rik"
"1110002N22Rik",6,6,6,"1110002N22Rik"
"Zfp316.1",2,2,2,"Zfp316.1"
"Sh2b1.1",2,2,2,"Sh2b1.1"
"1500031L02Rik",2,2,2,"1500031L02Rik"
"Il17ra",5,5,5,"Il17ra"
"Caskin2",3,3,3,"Caskin2"
"8430415E04Rik",7,7,7,"8430415E04Rik"
"Lass5",5,5,5,"Lass5"
"1810021J13Rik",4,4,4,"1810021J13Rik"
"Klc4",2,2,2,"Klc4"
"Krt16",3,3,3,"Krt16"
"Ggn",4,4,4,"Ggn"
"Fmnl3.1",8,8,8,"Fmnl3.1"
"Mtmr11.1",1,1,1,"Mtmr11.1"
"Rps21",8,8,8,"Rps21"
"Mlf1",3,3,3,"Mlf1"
"Uhrf1bp1.1",3,3,3,"Uhrf1bp1.1"
"Tmem159",1,1,1,"Tmem159"
"Dhdh.1",4,4,4,"Dhdh.1"
"Pqbp1",6,6,6,"Pqbp1"
"Tm6sf1",2,2,2,"Tm6sf1"
"Pkd2",4,4,4,"Pkd2"
"Surf1",2,2,2,"Surf1"
"Oas2",1,1,1,"Oas2"
"Irf9",5,5,5,"Irf9"
"Jmjd1a",2,2,2,"Jmjd1a"
"Oas1d.1",5,5,5,"Oas1d.1"
"Adprhl1",1,1,1,"Adprhl1"
"Nol3.1",4,4,4,"Nol3.1"
"1700113I22Rik",4,4,4,"1700113I22Rik"
"Rhoc.1",1,1,1,"Rhoc.1"
"Zranb1",8,8,8,"Zranb1"
"Zfp313",1,1,1,"Zfp313"
"Ddit4l",7,7,7,"Ddit4l"
"Suv420h2",2,2,2,"Suv420h2"
"Tcf3",4,4,4,"Tcf3"
"Zfp119.1",6,6,6,"Zfp119.1"
"Parp6",8,8,8,"Parp6"
"Myom1.1",7,7,7,"Myom1.1"
"Stc1",1,1,1,"Stc1"
"Nelf.1",7,7,7,"Nelf.1"
"Tfdp2.1",4,4,4,"Tfdp2.1"
"Lif",4,4,4,"Lif"
"Gls2",4,4,4,"Gls2"
"Btg4",4,4,4,"Btg4"
"Dhrsx.1",6,6,6,"Dhrsx.1"
"H2-Q5",5,5,5,"H2-Q5"
