"Symbol","Th1","Th2","Th1/2","Th0","s_th1_th2","s_th1_thm","s_th2_thm","s_th1_th0","s_th2_th0","s_th0_thm","switch_thm","switch_th0"
"Sepw1","1","1","3",NA,FALSE,TRUE,TRUE,NA,NA,NA,TRUE,FALSE
"Asah2","1","3","1","1",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"Rab19","1","3",NA,"1",TRUE,NA,NA,FALSE,TRUE,NA,TRUE,TRUE
"Trim33.3","1","1",NA,"3",FALSE,NA,NA,TRUE,TRUE,NA,FALSE,TRUE
"Itm2b.2","1",NA,"3",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Vps54","1",NA,"3",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Vps28","1",NA,"3",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Zfp87.1","1",NA,"3","3",NA,TRUE,NA,TRUE,NA,FALSE,TRUE,TRUE
"Shc1.1","1",NA,NA,"3",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Rasgrp1.1","1","3",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Abtb1","1","1","3","1",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"Zfp30","1",NA,"3","1",NA,TRUE,NA,FALSE,NA,TRUE,TRUE,TRUE
"Tnfrsf26","1",NA,"3",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Pcmtd1","1",NA,"3",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"2310046K01Rik","1","3",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Zbtb2","1","3","1","1",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"Il8rb","1","3",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"EG240327","1","3","1",NA,TRUE,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
"Chfr.1","3",NA,NA,"1",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Hnrpdl","3","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Zfp35","2","2","3",NA,FALSE,TRUE,TRUE,NA,NA,NA,TRUE,FALSE
"Rabif.1","2","2","2","3",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Klhl21","2","3","3","3",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"4931406P16Rik","2",NA,NA,"3",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Hnrpm","2","2",NA,"3",FALSE,NA,NA,TRUE,TRUE,NA,FALSE,TRUE
"Pdxdc1","2",NA,NA,"3",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Tmem42","2","3",NA,"3",TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE
"Rbak.2","2",NA,"3",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Arl8b","2","3",NA,"3",TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE
"Eif4g2","2","3","3",NA,TRUE,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
"Puf60","2",NA,NA,"3",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Dtx2.1","2","3",NA,"3",TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE
"Krt10","2",NA,NA,"3",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Mak10.1","2","2",NA,"3",FALSE,NA,NA,TRUE,TRUE,NA,FALSE,TRUE
"Polrmt","2",NA,"3","3",NA,TRUE,NA,TRUE,NA,FALSE,TRUE,TRUE
"Jtb","2",NA,NA,"3",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Actr5","2","3","3",NA,TRUE,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
"D1Bwg0212e.1","2","3",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Mark3","2","3","3",NA,TRUE,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
"2610109H07Rik","2",NA,"1",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Eif4e2.1","2","1","2",NA,TRUE,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
"Cnih","2","1",NA,"2",TRUE,NA,NA,FALSE,TRUE,NA,TRUE,TRUE
"Naca","2",NA,NA,"1",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Naca.1","2",NA,NA,"1",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Rgs1.1","2",NA,"1",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Rgs1","2",NA,"1",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Rgs1.2","2",NA,"1",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Ndufc1.1","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Il12rb1","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Chek1.1","2",NA,"1",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Tbc1d7.1","2","1","1",NA,TRUE,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
"2310047D13Rik","2",NA,NA,"1",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Rps24.1","2","1",NA,"1",TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE
"Pdk3","2","1","1","1",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Pex11c","2",NA,"1","1",NA,TRUE,NA,TRUE,NA,FALSE,TRUE,TRUE
"Xpnpep1.3","2","1","1",NA,TRUE,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
"Cox18.1","2",NA,NA,"1",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Caskin2","2","1","1",NA,TRUE,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
"Dmwd","2","1",NA,"1",TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE
"Dmwd.1","2","1",NA,"1",TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE
"Ptger2.1","2",NA,NA,"1",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Slc25a17","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Olfr982","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Vdac2","2",NA,"1","1",NA,TRUE,NA,TRUE,NA,FALSE,TRUE,TRUE
"Ptprs.4","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Lman1","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Phgdh","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Dnajc5b","2","1",NA,"1",TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE
"Mrs2","2","1","2",NA,TRUE,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
"Gtf2e2","2",NA,NA,"1",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Mre11a.1","2","1","2","1",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Got2","2","1","1","2",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"Zfp518b","2",NA,"1","1",NA,TRUE,NA,TRUE,NA,FALSE,TRUE,TRUE
"Ppp2r3c","2",NA,"1",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Rai14.1","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Ralb","2","1",NA,"1",TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE
"Fem1b","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Spcs3.1","2","1","2","1",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Tfrc","2",NA,"1",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Mre11a","2","1","2",NA,TRUE,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
"5730455P16Rik",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Dab2ip.1",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Wdr34",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Dab2ip",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Egfl7.2",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Ube2m",NA,"1","2","2",NA,NA,TRUE,NA,TRUE,FALSE,TRUE,TRUE
"Ptpla",NA,"1","2","2",NA,NA,TRUE,NA,TRUE,FALSE,TRUE,TRUE
"Csda.1",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"BC017643",NA,"1","3",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Atg2a",NA,"1",NA,"3",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Atg2a.1",NA,"1",NA,"3",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Rbm4b",NA,"1",NA,"3",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Gvin1",NA,"3","1","1",NA,NA,TRUE,NA,TRUE,FALSE,TRUE,TRUE
"Rab11fip2.1",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"D12Ertd647e",NA,"3",NA,"1",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Fchsd2",NA,"3",NA,"1",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Ifi35",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Slfn1",NA,"3","1","3",NA,NA,TRUE,NA,FALSE,TRUE,TRUE,TRUE
"Gbp6.1",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Gbp6",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Znfx1",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Sgcb",NA,NA,"1","3",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE
"1110007L15Rik.1",NA,NA,"2","1",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE
"Hnrpm.1",NA,NA,"2","3",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE
