"gene","cor_th1_th2","cor_th1_thmix","cor_th2_thmix","cluster","new_cluster.x","new_cluster.y","category"
"Il12rb2",0.171674895866101,0.935425784103274,0.336579695880071,8,12,1,"Superpos"
"Itpr1",0.313445618035958,0.917745527509445,0.403558264291574,8,12,1,"Superpos"
"Ffar2",0.399958549181314,0.965422431889145,0.406276278851252,8,12,1,"Superpos"
"Cxcr3",0.128235510240868,0.941317654518649,0.054167902334328,8,12,1,"Superpos"
"Ly6c1",0.158315928639685,0.987423005332644,0.214268204891926,8,12,1,"Superpos"
"Trim25",0.28357283024283,0.880402011019876,0.149423865969439,8,12,1,"Superpos"
"EG240327",0.13447136053202,0.880313085726561,0.256482395896357,8,12,1,"Superpos"
"Ube2f.2",0.424502979630582,0.662755260375633,0.258967455951856,8,13,1,"Superpos"
"Igtp",0.538547347732883,0.550057763716691,0.486421997461444,8,13,1,"Superpos"
"Ttc27",0.160655686722394,0.606014757005518,0.437504122823917,8,13,1,"Superpos"
"Usp18.1",-0.14025639248958,0.573611478071015,0.455382705334564,8,13,1,"Superpos"
"Nuak2",0.795236584822833,0.534909005508535,0.358676186071682,8,13,1,"Superpos"
"Mx1",-0.0730123605197414,0.523688971023506,0.340228383283174,8,13,1,"Superpos"
"Usp18",-0.248626679326152,0.594059664120033,0.382686539272183,8,13,1,"Superpos"
"Serpina3f",0.160748682972547,0.628726101767058,0.385345059931469,8,13,1,"Superpos"
"Oasl1",0.118424986048947,0.710167936409822,0.601833387166585,8,13,1,"Superpos"
"Mov10",0.72068668686608,0.719556558324597,0.626087505854538,8,13,1,"Superpos"
"Iigp2",0.404097007181714,0.612368293435683,0.616140563929913,8,13,1,"Superpos"
"Oasl1.2",0.013331894939862,0.644474355672035,0.525291887192444,8,13,1,"Superpos"
"Nav1.1",0.952963306440244,0.789880095172131,0.682698781216356,8,13,1,"Superpos"
"Mapre2",0.501345928967765,0.752720185518848,0.680315723656828,8,13,1,"Superpos"
"Casp1",0.183999317882924,0.759887977519515,0.648731582236061,8,13,1,"Superpos"
"H2-DMb2",0.705028758145383,0.837396513024168,0.615509231455012,8,13,1,"Superpos"
"H2-T10.1",0.303093822550785,0.812961596127431,0.600991091732911,8,13,1,"Superpos"
"EG630499.1",0.756353413944422,0.834511368803792,0.674576560077394,8,13,1,"Superpos"
"Slc17a6",0.543797890766818,0.816812433995129,0.646033093331876,8,13,1,"Superpos"
"Tmem159.1",0.825544307377693,0.758613643160373,0.501847658634468,8,13,1,"Superpos"
"Pik3ap1",-0.0112772049274521,0.803607675322183,0.45091033613603,8,13,1,"Superpos"
"Tdrd7",-0.00563597428585329,0.804531312508262,0.493483039600606,8,13,1,"Superpos"
"Ube2f.1",0.27130340911213,0.913281756998361,0.511662216083851,8,13,1,"Superpos"
"4930539E08Rik",0.240341139763538,0.889731355962898,0.610838954700967,8,13,1,"Superpos"
"Lrrk1.1",0.266236204153015,0.874827166853318,0.569694560147019,8,13,1,"Superpos"
"Amica1",-0.747539151257277,0.448226175208382,0.00308148976453581,7,8,2,"Th1like"
"Hopx",-0.194051131391624,0.501832680156708,0.0733721529160563,7,8,2,"Th1like"
"Fgl2",0.341095810333354,0.634020489063487,-0.0626213343397083,7,8,2,"Th1like"
"Bst2",-0.502983175055808,0.503586456457931,-0.104576815842429,7,8,2,"Th1like"
"Mtap6.3",0.616343776363727,0.478447029067486,-0.175248524619951,7,8,2,"Th1like"
"Ccr5.2",-0.581729812681017,0.820302100538133,-0.100679907088626,7,9,2,"Th1like"
"LOC435565",-0.507017032916271,0.787954721747329,-0.165009395216607,7,9,2,"Th1like"
"Ch25h",-0.199685449868988,0.888246567717937,-0.161423878694421,7,9,2,"Th1like"
"Ccr5.1",-0.581605201619945,0.900152996815507,-0.236637340812335,7,9,2,"Th1like"
"Ifi202b",-0.453129340265871,0.745552630290283,-0.514126215336299,7,9,2,"Th1like"
"Ly6a",-0.385896610910149,0.984845342628197,-0.306882886770259,7,9,2,"Th1like"
"Ccr5",-0.656231633738613,0.945329981197348,-0.504289468718833,7,9,2,"Th1like"
"Plac8",-0.507402206708605,0.989759861744642,-0.431342563816935,7,9,2,"Th1like"
"AI451617",-0.464534253200016,-0.548573282665414,-0.00287731820265247,1,1,3,"Ind"
"Mtap6.2",0.25259451368976,0.217798796262818,0.229369914822098,2,2,4,"Ind"
"Ifih1",0.455164825187262,0.204909308981751,0.216359898264528,2,2,4,"Ind"
"Ube2l6",-0.10505077538353,0.200872631343877,0.231176164268755,2,2,4,"Ind"
"Ifi202b.1",-0.579216366817824,0.0421919293856301,0.071073648450827,2,2,4,"Ind"
"Oasl2.1",0.541172381728287,-0.0119177530499776,0.269804812563771,2,2,4,"Ind"
"Oasl2",0.105328004266397,-0.102403101168031,-0.319080583414863,2,3,4,"Ind"
"Nrp1",0.391414125905657,0.168341430634002,-0.247638493982122,2,3,4,"Ind"
"Nrp1.1",0.42487076494423,0.137299782477734,-0.221290758410389,2,3,4,"Ind"
"Efna5",-0.748999553203135,-0.755423798788482,0.964133256868997,3,4,5,"Th2like"
"Nkg7",-0.697765809368742,-0.577468471470922,0.923503292723979,3,4,5,"Th2like"
"Ifit3.1",-0.415170246871026,-0.593220744548276,0.939355562776397,3,4,5,"Th2like"
"Tlr7",-0.352361156881982,-0.454457640800967,0.906926270114069,3,4,5,"Th2like"
"D330045A20Rik.1",-0.482041492499301,-0.43443753612959,0.992426417256742,3,4,5,"Th2like"
"Sln",-0.215435671923652,-0.385904208486022,0.973760501592295,3,4,5,"Th2like"
"Atp10a",-0.0850896022522423,-0.386359408867678,0.79905395170031,3,4,5,"Th2like"
"Ms4a6d.1",-0.744202098009705,-0.306642380649354,0.830272771111345,3,4,5,"Th2like"
"Parp12",-0.438490946082744,-0.34992124309496,0.873024474134078,3,4,5,"Th2like"
"Ifit2",-0.0310720384912343,-0.355395368324711,0.854354742608178,3,4,5,"Th2like"
"Rtp4",-0.494194502330966,-0.355719891293802,0.845617649856546,3,4,5,"Th2like"
"Gata3",-0.554291864145198,-0.328607315123192,0.933728098516624,3,4,5,"Th2like"
"Rsad2",-0.504972788055344,-0.260355119106788,0.869953091608281,3,4,5,"Th2like"
"Clpx",0.0327553463399508,-0.261101819389332,0.931649436527364,3,4,5,"Th2like"
"Oas1g.3",-0.397225622971729,-0.140462282470675,0.601649460831105,4,5,6,"Ind"
"Ifi35",-0.228926114614228,-0.0528086963303725,0.600260793683872,4,5,6,"Ind"
"Ltbp1.4",0.301595601021348,-0.0512514079794059,0.604159793625686,4,5,6,"Ind"
"Sema4b",-0.141032928022875,0.0964644177690521,0.648094518218434,4,5,6,"Ind"
"Klrk1.3",-0.409439994636458,0.140220942019619,0.516803482291642,4,5,6,"Ind"
"Oas1g",-0.200844018657532,-0.358385677948448,0.545229265214925,4,5,6,"Ind"
"Zbp1.1",-0.0541864518647672,-0.234289361597919,0.287708933805234,4,5,6,"Ind"
"H28",0.376298348382705,-0.229038347142426,0.253381957764751,4,5,6,"Ind"
"Sco1.1",0.44199361381282,0.315509524845661,0.705627856716559,5,6,7,"Ind"
"Dusp14",0.534563641257589,0.246362588213239,0.722268810500035,5,6,7,"Ind"
"Ifi203",0.0807040627254495,0.282644106506833,0.738116890278749,5,6,7,"Ind"
"Fscn1",0.474876474378801,0.281470982679374,0.750962653602585,5,6,7,"Ind"
"2010001M09Rik",0.380664928950403,0.402235248255219,0.789454189688216,5,6,7,"Ind"
"Gbp3.1",-0.22010914911459,0.343319664857382,0.765437450774137,5,6,7,"Ind"
"Marcks",-0.192672806423002,0.347747022830927,0.767457220732274,5,6,7,"Ind"
"Tspan6",-0.0767696064596472,0.430104361715813,0.671815597168887,5,6,7,"Ind"
"Gbp1",-0.261730677851927,0.379014915475986,0.624222162302374,5,6,7,"Ind"
"Tap1",0.263090256206304,0.389106399432028,0.645212755960443,5,6,7,"Ind"
"Hsh2d",-0.0616826743447891,0.405071286879012,0.628949395425979,5,6,7,"Ind"
"Il18rap",0.281069919568461,0.537653792063425,0.567283792332186,5,6,7,"Ind"
"Igfbp7.1",0.753051369934863,0.485556052576676,0.548524583870124,5,6,7,"Ind"
"Adar",0.421466663098892,0.424758703678069,0.432899333988245,5,6,7,"Ind"
"Gbp5.1",0.406512327325302,0.36781979777327,0.503919974660287,5,6,7,"Ind"
"Tal2",0.811650418143636,0.338798488450039,0.501521280740544,5,6,7,"Ind"
"P2ry14",0.0383055936509277,0.300038722717701,0.940747874600357,6,7,8,"Th2like"
"Pim2.1",0.31380928844054,0.328149959805018,0.944609255546009,6,7,8,"Th2like"
"BC094916.1",0.0783204496373622,0.354416361446827,0.943156849202704,6,7,8,"Th2like"
"Rexo2",0.424533789247154,0.364620288575823,0.95069838655611,6,7,8,"Th2like"
"Mitd1",0.30525874467588,0.373663595370546,0.918763731383759,6,7,8,"Th2like"
"P2ry14.2",0.0906199881283673,0.383429563136913,0.93100221592066,6,7,8,"Th2like"
"Tiam1",0.328774310993259,0.21988052384889,0.966794568384316,6,7,8,"Th2like"
"C730027P07Rik",0.530416850264513,0.265283408294537,0.927286447983562,6,7,8,"Th2like"
"St3gal1.1",0.356910134729082,0.269395514548266,0.968280324127024,6,7,8,"Th2like"
"Eomes",0.0813911074266911,0.277070882923635,0.955266777968641,6,7,8,"Th2like"
"BC006779",-0.00170445589510373,0.308961822912598,0.851827284969085,6,7,8,"Th2like"
"Msr2",0.316814035480592,0.318845457578627,0.887980694778816,6,7,8,"Th2like"
"Gbp6",0.0287523118183534,0.225900627297844,0.85781247312286,6,7,8,"Th2like"
"Irf7",-0.140940549975821,0.262465202065083,0.850037489577037,6,7,8,"Th2like"
"Rnf213",0.078888068282869,0.260156975430028,0.884392545404706,6,7,8,"Th2like"
"Clec2e",-0.016751693209974,0.247702663349582,0.874169746508873,6,7,8,"Th2like"
"Ddx60",-0.20312592140533,-0.0707678948815604,0.920219500873528,6,7,8,"Th2like"
"Oas2",-0.0106744717644166,-0.0380313685151249,0.901715287205856,6,7,8,"Th2like"
"D330045A20Rik",-1.87068090306366e-06,-0.0367010431868389,0.98806275790785,6,7,8,"Th2like"
"Emr1",-0.1030731144579,-0.0280405054782975,0.960771397682756,6,7,8,"Th2like"
"Ifit2.1",-0.0246228426071534,-0.0253159397945326,0.951516332826171,6,7,8,"Th2like"
"Ifit3",-0.485398679166784,-0.125370997279473,0.854166289642454,6,7,8,"Th2like"
"Timd2",0.0487889889905074,-0.137609844267477,0.959559331760056,6,7,8,"Th2like"
"Smpdl3b",0.343948200307513,0.132853640404694,0.942951472169663,6,7,8,"Th2like"
"St3gal1",0.0593847006625987,0.143605321817378,0.972991024542174,6,7,8,"Th2like"
"Znfx1",-0.0428790100285785,0.0612978639230145,0.939561439623381,6,7,8,"Th2like"
"BC094916",-0.0705220656873909,0.043024092944303,0.983533148947482,6,7,8,"Th2like"
"Nts",-0.0191331912194587,0.0366009661891767,0.98055028682706,6,7,8,"Th2like"
"Fcrls",0.224693648102985,0.155421179363347,0.865477387766728,6,7,8,"Th2like"
"Snx10",-0.0381797647515201,0.178498672499067,0.886167256120646,6,7,8,"Th2like"
"Nqo2",0.222941942590944,0.0960677706468221,0.829708468397688,6,7,8,"Th2like"
"9930111J21Rik",0.10682881618197,0.0896978952837918,0.812949973382672,6,7,8,"Th2like"
"Gbp6.1",-0.0161281754405,0.0976502734052004,0.853074564716524,6,7,8,"Th2like"
"Lgals3bp",-0.166597963989066,0.0653213002719072,0.831707132323673,6,7,8,"Th2like"
"Parp14",-0.0898712802167984,0.0631500856137332,0.859483078947693,6,7,8,"Th2like"
