gene,module
Il11,CytoK
Il12a,CytoK
Il12b,CytoK
Il13,CytoK
Il15,CytoK
Il16,CytoK
Il17a,CytoK
Il17b,CytoK
Il17c,CytoK
Il17d,CytoK
Il17f,CytoK
Il18,CytoK
Il19,CytoK
Il1a,CytoK
Il1b,CytoK
Il1f10,CytoK
Il1f5,CytoK
Il1f6,CytoK
Il1f8,CytoK
Il1f9,CytoK
Il1rn,CytoK
Il2,CytoK
Il20,CytoK
Il21,CytoK
Il22,CytoK
Il23a,CytoK
Il24,CytoK
Il25,CytoK
Il27,CytoK
Il28a,CytoK
Il28b,CytoK
Il3,CytoK
Il31,CytoK
Il33,CytoK
Il34,CytoK
Il4,CytoK
Il5,CytoK
Il6,CytoK
Il6st,CytoK
Il7,CytoK
Il9,CytoK
Inha,CytoK
Inhba,CytoK
Inhbb,CytoK
Inhbc,CytoK
Inhbe,CytoK
Kitl,CytoK
Lefty1,CytoK
Lefty2,CytoK
Lep,CytoK
Lhb,CytoK
Lif,CytoK
Mstn,CytoK
Ngf,CytoK
Nodal,CytoK
Nrtn,CytoK
Ntf3,CytoK
Ntf5,CytoK
Osm,CytoK
Pdgfa,CytoK
Pdgfb,CytoK
Pdgfc,CytoK
Pdgfd,CytoK
Pf4,CytoK
Pgf,CytoK
Pomc,CytoK
Ppbp,CytoK
Prl,CytoK
Pspn,CytoK
Socs1,CytoK
Socs2,CytoK
Socs3,CytoK
Socs4,CytoK
Socs5,CytoK
Socs6,CytoK
Socs7,CytoK
Tgfb1,CytoK
Tgfb2,CytoK
Tgfb3,CytoK
Thpo,CytoK
Tnf,CytoK
Tnfsf10,CytoK
Tnfsf11,CytoK
Tnfsf12,CytoK
Tnfsf13,CytoK
Tnfsf13b,CytoK
Tnfsf14,CytoK
Tnfsf15,CytoK
Tnfsf18,CytoK
Tnfsf4,CytoK
Tnfsf8,CytoK
Tnfsf9,CytoK
Tshb,CytoK
Vegfa,CytoK
Vegfb,CytoK
Vegfc,CytoK
Xcl1,CytoK
Bcap31,CytoR
C3ar1,CytoR
C5ar1,CytoR
Cd200r1,CytoR
Cd200r2,CytoR
Cd244,CytoR
Cd247,CytoR
Cd27,CytoR
Cd300lf,CytoR
Clec12a,CytoR
Cr1l,CytoR
Cr2,CytoR
Csf1r,CytoR
Csf2ra,CytoR
Csf2rb,CytoR
Csf3r,CytoR
Cxcr6,CytoR
Cysltr1,CytoR
Ddr1,CytoR
Fas,CytoR
Fcamr,CytoR
Fcer1a,CytoR
Fcer1g,CytoR
Fcgr2b,CytoR
Fcgrt,CytoR
Fcrl5,CytoR
Fcrla,CytoR
Fgfr1,CytoR
Fgfr2,CytoR
Fgfr3,CytoR
Fgfr4,CytoR
Hmmr,CytoR
Hrh2,CytoR
Hrh4,CytoR
Ifnar2,CytoR
Ifngr1,CytoR
Ifngr2,CytoR
Igf1r,CytoR
Igf2r,CytoR
Il10ra,CytoR
Il10rb,CytoR
Il12rb1,CytoR
Il12rb2,CytoR
Il13ra1,CytoR
Il13ra2,CytoR
Il15ra,CytoR
Il17ra,CytoR
Il17rb,CytoR
Il17rc,CytoR
Il17rd,CytoR
Il17re,CytoR
Il18r1,CytoR
Il18rap,CytoR
Il1r1,CytoR
Il1r2,CytoR
Il1rap,CytoR
Il1rapl1,CytoR
Il1rapl2,CytoR
Il1rl1,CytoR
Il1rl2,CytoR
Il20ra,CytoR
Il21r,CytoR
Il22ra1,CytoR
Il23r,CytoR
Il28ra,CytoR
Il2ra,CytoR
Il2rb,CytoR
Il2rg,CytoR
Il31ra,CytoR
Il3ra,CytoR
Il5ra,CytoR
Il7r,CytoR
Il9r,CytoR
Insr,CytoR
Irak1,CytoR
Irak1bp1,CytoR
Irak2,CytoR
Irak3,CytoR
Irak4,CytoR
Kdr,CytoR
Kir3dl1,CytoR
Kir3dl2,CytoR
Klrb1,CytoR
Klrc1,CytoR
Klrc2,CytoR
Klrd1,CytoR
Lair1,CytoR
Lifr,CytoR
Lilra5,CytoR
Lilra6,CytoR
Lilrb3,CytoR
Lilrb4,CytoR
Ltb4r2,CytoR
Ltbr,CytoR
Marco,CytoR
Mrc1,CytoR
Mrc2,CytoR
Msr1,CytoR
Mst1r,CytoR
Ncr1,CytoR
Pilra,CytoR
Pla2r1,CytoR
Plaur,CytoR
Procr,CytoR
Ptafr,CytoR
Ptgfrn,CytoR
Ptpn22,CytoR
Ptprc,CytoR
Ptprcap,CytoR
Ptprj,CytoR
Pvr,CytoR
Pvrl1,CytoR
Pvrl2,CytoR
Ripk1,CytoR
Scarb1,CytoR
Slamf6,CytoR
Tfrc,CytoR
Tlr1,CytoR
Tlr2,CytoR
Tlr4,CytoR
Tlr5,CytoR
Tnfrsf10b,CytoR
Tnfrsf11a,CytoR
Tnfrsf12a,CytoR
Tnfrsf13b,CytoR
Tnfrsf13c,CytoR
Tnfrsf14,CytoR
Tnfrsf17,CytoR
Tnfrsf18,CytoR
Tnfrsf1a,CytoR
Tnfrsf1b,CytoR
Tnfrsf4,CytoR
Tnfrsf8,CytoR
Tnfrsf9,CytoR
Traf1,CytoR
Traf2,CytoR
Traf3,CytoR
Traf3ip1,CytoR
Traf5,CytoR
Traf6,CytoR
1500009L16Rik,Th1
1700025G04Rik,Th1
2610020H08Rik,Th1
4933430I17Rik,Th1
a,Th1
A530040E14Rik,Th1
AA467197,Th1
Aagab,Th1
Abhd17b,Th1
Abhd4,Th1
AC134826.1,Th1
AC157213.1,Th1
Acadl,Th1
Agfg2,Th1
Ahcy,Th1
Aldh5a1,Th1
Anxa2,Th1
Apold1,Th1
Arhgap18,Th1
Arhgef25,Th1
Arl5a,Th1
Arsb,Th1
Asns,Th1
Atp2b1,Th1
AW112010,Th1
B430306N03Rik,Th1
BC068157,Th1
Brdt,Th1
C920025E04Rik,Th1
Cab39,Th1
Cacna1h,Th1
Ccdc102a,Th1
Ccdc136,Th1
Ccr5,Th1
Cdkn2a,Th1
Cdkn2b,Th1
Cebpd,Th1
Chst11,Th1
Chsy1,Th1
Clic4,Th1
Cmas,Th1
Cpm,Th1
Csf1,Th1
Cxcr6,Th1
Cyb5r4,Th1
Cyp4f39,Th1
Cyp51,Th1
Dap,Th1
Dcun1d3,Th1
Dhcr7,Th1
Dnajc15,Th1
Dnm1,Th1
Dpysl2,Th1
Edem1,Th1
Efr3a,Th1
Elovl5,Th1
Elovl6,Th1
Emilin2,Th1
Epsti1,Th1
Espn,Th1
Etv5,Th1
Exoc6,Th1
Fam132a,Th1
Fasl,Th1
Fbln1,Th1
Fdft1,Th1
Fdps,Th1
Fggy,Th1
Filip1,Th1
Fkbp5,Th1
Flt4,Th1
Furin,Th1
Fxyd1,Th1
Fxyd5,Th1
Fxyd7,Th1
Gab3,Th1
Gadd45g,Th1
Galns,Th1
Galnt7,Th1
Gbe1,Th1
Gbp2,Th1
Gbp3,Th1
Gbp7,Th1
Gimap4,Th1
Gm12250,Th1
Gm4737,Th1
Gm4841,Th1
Gnaq,Th1
Gnb5,Th1
Gng2,Th1
Gpld1,Th1
Gpnmb,Th1
Gstm4,Th1
Gtf2i,Th1
Gyg,Th1
H2-T22,Th1
H2afy,Th1
Hectd1,Th1
Hexb,Th1
Hif1a,Th1
Hk1,Th1
Hlx,Th1
Hmgcr,Th1
Hmgcs1,Th1
Hopx,Th1
Hpse,Th1
Hspb6,Th1
Ifi204,Th1
Ifi44,Th1
Ifit2,Th1
Ifitm1,Th1
Ifitm2,Th1
Ifitm3,Th1
Ifng,Th1
Ifngr1,Th1
Igf2bp2,Th1
Il12rb2,Th1
Il18r1,Th1
Il18rap,Th1
Il34,Th1
Iqgap1,Th1
Irgm2,Th1
Itgb5,Th1
Itih5,Th1
Kcnab3,Th1
Kcnj8,Th1
Kif9,Th1
Klhl25,Th1
Klrc1,Th1
Lbr,Th1
Lca5,Th1
Ldlr,Th1
Lipa,Th1
Lnpep,Th1
Lrp12,Th1
Lrrc27,Th1
Lrrc8c,Th1
Lsr,Th1
Lss,Th1
Ly6c1,Th1
Ly6c2,Th1
Lysmd2,Th1
Man1a,Th1
Map2k5,Th1
Map3k5,Th1
Map3k8,Th1
Map6,Th1
Mapk3,Th1
Mbnl1,Th1
Mgarp,Th1
Morn4,Th1
Mxd1,Th1
Myadm,Th1
Myd88,Th1
Myl10,Th1
Nabp1,Th1
Nacc2,Th1
Ndnf,Th1
Ngly1,Th1
Nid2,Th1
Nlrp1a,Th1
Nono,Th1
Noxred1,Th1
Onecut2,Th1
Osbpl8,Th1
P2rx3,Th1
P2ry14,Th1
P4ha2,Th1
Padi2,Th1
Pak6,Th1
Palm,Th1
Pgm2,Th1
Phf11b,Th1
Picalm,Th1
Pik3ap1,Th1
Pim2,Th1
Plac8,Th1
Plcl2,Th1
Pld2,Th1
Pml,Th1
Ppp1r12a,Th1
Ppp1r3b,Th1
Prelid2,Th1
Prnp,Th1
Prss16,Th1
Prss57,Th1
Pten,Th1
Ptger3,Th1
Pygl,Th1
Qars,Th1
Rab31,Th1
Rassf4,Th1
Rdh11,Th1
Rell1,Th1
Rer1,Th1
Rgag4,Th1
RP23-285C18.2,Th1
Rufy4,Th1
Sc4mol,Th1
Scd1,Th1
Scd2,Th1
Scly,Th1
Sdc3,Th1
Sema3f,Th1
Sep-06,Th1
Serpinb6a,Th1
Serpine2,Th1
Slamf7,Th1
Slc7a5,Th1
Sntb2,Th1
Snx9,Th1
Sord,Th1
Sp140,Th1
Sptbn2,Th1
Ssr1,Th1
Ssrp1,Th1
St3gal4,Th1
Stard4,Th1
Ston2,Th1
Syngap1,Th1
Sytl3,Th1
Tagln2,Th1
Tap1,Th1
Tbkbp1,Th1
Tbx21,Th1
Tgtp1,Th1
Tgtp2,Th1
Themis,Th1
Tifab,Th1
Tm6sf1,Th1
Tmem106a,Th1
Tmem159,Th1
Tmem180,Th1
Tmem30a,Th1
Tmem71,Th1
Tmod2,Th1
Tmod3,Th1
Tns1,Th1
Tns4,Th1
Tpi1,Th1
Trim34a,Th1
Trim46,Th1
Trim5,Th1
Tspan3,Th1
Tuba1a,Th1
Tuba1b,Th1
Tuba1c,Th1
Tubb5,Th1
Ube2h,Th1
Uck2,Th1
Uhrf1bp1l,Th1
Ulbp1,Th1
Unc119b,Th1
Wdr78,Th1
Xcr1,Th1
Xdh,Th1
Xkr5,Th1
Yipf4,Th1
0610009D07Rik,Th2
1810022K09Rik,Th2
2700081O15Rik,Th2
2900011O08Rik,Th2
2900052L18Rik,Th2
4632434I11Rik,Th2
A730081D07Rik,Th2
Abat,Th2
Abca5,Th2
Abi3,Th2
AC117663.1,Th2
AC130841.1,Th2
Adal,Th2
Adam19,Th2
Adamtsl5,Th2
Adarb1,Th2
Adcy4,Th2
Ahr,Th2
Ahrr,Th2
Ahsa2,Th2
Aida,Th2
Akap1,Th2
Ankrd34b,Th2
Aplp2,Th2
Arhgef19,Th2
Armcx4,Th2
Armcx6,Th2
Asic3,Th2
Atp2a2,Th2
Atp6v0d2,Th2
Atxn10,Th2
B230120H23Rik,Th2
B3galnt2,Th2
BC030499,Th2
Bcl2a1d,Th2
Bhlhb9,Th2
Brix1,Th2
Camkk2,Th2
Capsl,Th2
Car12,Th2
Car13,Th2
Car5b,Th2
Ccdc112,Th2
Ccdc137,Th2
Ccdc41,Th2
Ccdc58,Th2
Ccne2,Th2
Ccp110,Th2
Cct6a,Th2
Cd24a,Th2
Cdc42bpa,Th2
Cdc42bpb,Th2
Cdh10,Th2
Cdk6,Th2
Cdkl3,Th2
Cep170,Th2
Cep290,Th2
Chek1,Th2
Cldn25,Th2
Cpd,Th2
Cpox,Th2
Cpsf2,Th2
Crispld2,Th2
Cse1l,Th2
Ctla2b,Th2
Ctps,Th2
Ctsc,Th2
Cubn,Th2
Cul1,Th2
Cyp1b1,Th2
D930048N14Rik,Th2
Ddx1,Th2
Dek,Th2
Dennd2c,Th2
Dgcr8,Th2
Dhfr,Th2
Dhx29,Th2
Dis3,Th2
Dlg2,Th2
Dna2,Th2
Dnttip2,Th2
Dock3,Th2
Dsel,Th2
Dst,Th2
Dtl,Th2
Dyrk4,Th2
Ehd4,Th2
Eif2b3,Th2
Emp1,Th2
Enpp2,Th2
Eogt,Th2
Exo1,Th2
Ezh2,Th2
Fabp5,Th2
Fam131b,Th2
Fam217b,Th2
Fam57a,Th2
Fam98a,Th2
Fanca,Th2
Fancm,Th2
Farp2,Th2
Farsb,Th2
Fastkd3,Th2
Fer1l6,Th2
Fignl1,Th2
Fktn,Th2
Fnbp1l,Th2
Fnip2,Th2
Frmd6,Th2
Fubp1,Th2
Gad2,Th2
Gatm,Th2
Gcnt2,Th2
Gemin6,Th2
Gfpt2,Th2
Glce,Th2
Gls2,Th2
Gm11648,Th2
Gm25663,Th2
Gm26394,Th2
Gm6166,Th2
Gmfb,Th2
Gnl3,Th2
Golm1,Th2
Gpr15,Th2
Hells,Th2
Hist1h2af,Th2
Hn1l,Th2
Hnrnpa2b1,Th2
Hnrnpr,Th2
Hspa9,Th2
Hspd1,Th2
Hsph1,Th2
Il17a,Th2
Il17f,Th2
Il2,Th2
Il21,Th2
Il2ra,Th2
Inhba,Th2
Ipo5,Th2
Irf4,Th2
Itpa,Th2
Jrkl,Th2
Katnbl1,Th2
Kdelc1,Th2
Kif3b,Th2
Kif5c,Th2
Knop1,Th2
Lbp,Th2
Lgr4,Th2
Lig1,Th2
Lpxn,Th2
Lrp1,Th2
Lrrc59,Th2
Lyar,Th2
Mak16,Th2
Malt1,Th2
Mat2a,Th2
Mcm10,Th2
Mcm3,Th2
Mcm8,Th2
Mlf1ip,Th2
Mphosph10,Th2
Mphosph6,Th2
Myh11,Th2
Myo3b,Th2
Myo5a,Th2
N4bp1,Th2
Naa15,Th2
Naa16,Th2
Nasp,Th2
Ncbp2,Th2
Nckap1,Th2
Ncs1,Th2
Ndufb4,Th2
Neu3,Th2
Nexn,Th2
Nfxl1,Th2
Noc3l,Th2
Nsf,Th2
Nudcd1,Th2
Nudt5,Th2
Nup133,Th2
Nup155,Th2
Nup85,Th2
Nup93,Th2
Nynrin,Th2
Orc1,Th2
Orc6,Th2
Osgin2,Th2
Pak1ip1,Th2
Palb2,Th2
Paqr8,Th2
Pax6,Th2
Pfas,Th2
Pgf,Th2
Pkhd1l1,Th2
Plagl2,Th2
Plod2,Th2
Pole,Th2
Pole3,Th2
Polr3g,Th2
Ppat,Th2
Ppid,Th2
Ppp1r14c,Th2
Ppp2r1b,Th2
Prim1,Th2
Prkci,Th2
Prkrir,Th2
Prps1,Th2
Prr5l,Th2
Psme3,Th2
Ptgfrn,Th2
Pus7,Th2
Rad1,Th2
Rad51ap1,Th2
Rbbp8,Th2
Rbmx2,Th2
Rdx,Th2
Rexo4,Th2
Rhot1,Th2
Rin2,Th2
Rnaseh2b,Th2
Rnmt,Th2
Rora,Th2
RP23-32L5.4,Th2
Scarna10,Th2
Scn4b,Th2
Sep-11,Th2
Serpine1,Th2
Sgk1,Th2
Sh3pxd2b,Th2
Shmt1,Th2
Skp2,Th2
Slc12a2,Th2
Slc19a2,Th2
Slc25a13,Th2
Slc39a1,Th2
Slc39a14,Th2
Slc43a3,Th2
Slc44a1,Th2
Slc4a8,Th2
Slc7a6,Th2
Slc9a5,Th2
Slmo2,Th2
Smarcc1,Th2
Smim3,Th2
Snhg5,Th2
Ssx2ip,Th2
St13,Th2
Stk35,Th2
Stx12,Th2
Stxbp4,Th2
Syn1,Th2
Taf2,Th2
Tbc1d24,Th2
Tdrkh,Th2
Tfap2a,Th2
Tfrc,Th2
Tgm2,Th2
Tgs1,Th2
Ticrr,Th2
Timm21,Th2
Timp1,Th2
Tln2,Th2
Tmtc2,Th2
Tmtc3,Th2
Tnfrsf13b,Th2
Tnip2,Th2
Tpbg,Th2
Traf6,Th2
Trappc13,Th2
Trim37,Th2
Trim9,Th2
Tspan6,Th2
Txlna,Th2
Ube2q2,Th2
Uchl5,Th2
Usp46,Th2
Usp49,Th2
Vmp1,Th2
Wdfy4,Th2
Wdhd1,Th2
Wdr75,Th2
Xrcc2,Th2
Zbtb18,Th2
Zc3h12d,Th2
Zfp101,Th2
Zfp667,Th2
Zfp9,Th2
Zik1,Th2
Zwilch,Th2
Zwint,Th2
4930453N24Rik,Th17
6430571L13Rik,Th17
Abhd14b,Th17
Acat3,Th17
Acot11,Th17
Adamtsl3,Th17
Adamtsl4,Th17
Adc,Th17
Adk,Th17
AI467606,Th17
AI854703,Th17
Ak2,Th17
Akr1c12,Th17
Akr1c13,Th17
Arl6ip5,Th17
Atf5,Th17
Atp1b3,Th17
Atp2a3,Th17
AW549877,Th17
B3galt5,Th17
Batf,Th17
Bbs9,Th17
Bcam,Th17
Bmp7,Th17
Cacna1c,Th17
Calcrl,Th17
Cnr2,Th17
Col6a2,Th17
Coro7,Th17
Cpeb1,Th17
Cst7,Th17
Ctage5,Th17
Ctse,Th17
Cyp4f16,Th17
Dok2,Th17
Ecm1,Th17
Emilin1,Th17
Eml1,Th17
Epas1,Th17
Epha2,Th17
Fam46a,Th17
Fbxo17,Th17
Fbxo27,Th17
Fcgrt,Th17
Focad,Th17
Gata3,Th17
Glipr2,Th17
Gm5127,Th17
Gm973,Th17
Gna15,Th17
Gpm6b,Th17
Hc,Th17
Hpgds,Th17
Hs1bp3,Th17
Hunk,Th17
Icosl,Th17
Ifi30,Th17
Il4,Th17
Il4ra,Th17
Itga7,Th17
Itgb3,Th17
Klk8,Th17
Kremen2,Th17
Krt18,Th17
Lgmn,Th17
Lhfp,Th17
Limd1,Th17
Lpcat4,Th17
Lrrc33,Th17
Man2b1,Th17
Map2,Th17
Mapre2,Th17
Mboat1,Th17
Mctp1,Th17
Micall2,Th17
mt-Cytb,Th17
mt-Nd1,Th17
mt-Rnr1,Th17
mt-Rnr2,Th17
mt-Tp,Th17
Mta2,Th17
Myo6,Th17
Nfil3,Th17
Nfx1,Th17
Oit3,Th17
P2rx7,Th17
Paxbp1,Th17
Phldb1,Th17
Plin3,Th17
Plxna1,Th17
Pmm2,Th17
Ppp2r3a,Th17
Ppp2r5a,Th17
Ppp3cc,Th17
Prkcz,Th17
Pros1,Th17
Ptgir,Th17
Rab19,Th17
Rab3a,Th17
Rap1b,Th17
Rapsn,Th17
Rasgrp4,Th17
Rnf19b,Th17
Rpl30,Th17
Sema4f,Th17
Sepp1,Th17
Sft2d2,Th17
Sgsh,Th17
Slc35c2,Th17
Slc37a3,Th17
Slc39a6,Th17
Slc41a2,Th17
Slc4a4,Th17
Slc4a7,Th17
Slc9a6,Th17
Slco4a1,Th17
Slfn2,Th17
Snora20,Th17
St8sia4,Th17
Sv2c,Th17
Tanc2,Th17
Tep1,Th17
Tmem41b,Th17
Tnfsf13b,Th17
Trat1,Th17
Ubl3,Th17
Unc80,Th17
Wdfy2,Th17
Wfikkn2,Th17
Wtap,Th17
Xpc,Th17
Zfp280b,Th17
Abl1,Proliferation
Adk,Proliferation
Ager,Proliferation
Aif1,Proliferation
Anxa1,Proliferation
Arg1,Proliferation
Arg2,Proliferation
Armc5,Proliferation
Bax,Proliferation
Blm,Proliferation
Bmi1,Proliferation
Bmp4,Proliferation
Btla,Proliferation
Btn1a1,Proliferation
Btn2a2,Proliferation
Btnl2,Proliferation
Card11,Proliferation
Carmil2,Proliferation
Casp3,Proliferation
Cblb,Proliferation
Ccdc88b,Proliferation
Ccl5,Proliferation
Ccl19,Proliferation
Ccnd3,Proliferation
Ccr2,Proliferation
Ccr7,Proliferation
Cd1d1,Proliferation
Cd3e,Proliferation
Cd4,Proliferation
Cd6,Proliferation
Cd24a,Proliferation
Cd28,Proliferation
Cd40lg,Proliferation
Cd44,Proliferation
Cd46,Proliferation
Cd55,Proliferation
Cd55b,Proliferation
Cd59a,Proliferation
Cd59b,Proliferation
Cd80,Proliferation
Cd81,Proliferation
Cd86,Proliferation
Cd151,Proliferation
Cd209a,Proliferation
Cd244a,Proliferation
Cd274,Proliferation
Cd276,Proliferation
Cdkn2a,Proliferation
Ceacam1,Proliferation
Cebpb,Proliferation
Clec2i,Proliferation
Clec4g,Proliferation
Coro1a,Proliferation
Crip3,Proliferation
Crtam,Proliferation
Ctla4,Proliferation
Ctnnb1,Proliferation
Ctps,Proliferation
Cxcl12,Proliferation
Cxcr4,Proliferation
Dhps,Proliferation
Dlg1,Proliferation
Dlg5,Proliferation
Dnaja3,Proliferation
Dock2,Proliferation
Dock8,Proliferation
Ebi3,Proliferation
Efnb1,Proliferation
Elf4,Proliferation
Ephb6,Proliferation
Epo,Proliferation
Erbb2,Proliferation
Fadd,Proliferation
Fkbp1a,Proliferation
Fkbp1b,Proliferation
Foxj1,Proliferation
Foxp3,Proliferation
Fyn,Proliferation
Gja1,Proliferation
Glmn,Proliferation
Gnrh1,Proliferation
Gpam,Proliferation
Gpnmb,Proliferation
H2-Aa,Proliferation
H2-Ab1,Proliferation
H2-DMb1,Proliferation
H2-DMb2,Proliferation
Havcr2,Proliferation
Hes1,Proliferation
Hmgb1,Proliferation
Icosl,Proliferation
Ido1,Proliferation
Ifng,Proliferation
Igf1,Proliferation
Igf2,Proliferation
Igfbp2,Proliferation
Ihh,Proliferation
Il1a,Proliferation
Il1b,Proliferation
Il2,Proliferation
Il2ra,Proliferation
Il4,Proliferation
Il4i1,Proliferation
Il4i1b,Proliferation
Il6,Proliferation
Il6st,Proliferation
Il12a,Proliferation
Il12b,Proliferation
Il12rb1,Proliferation
Il15,Proliferation
Il18,Proliferation
Il20rb,Proliferation
Il21,Proliferation
Il23a,Proliferation
Il27,Proliferation
Il27ra,Proliferation
Irf1,Proliferation
Itch,Proliferation
Itgad,Proliferation
Itgal,Proliferation
Itgam,Proliferation
Itgax,Proliferation
Itgb2,Proliferation
Jak3,Proliferation
Laptm5,Proliferation
Lep,Proliferation
Lgals3,Proliferation
Lgals7,Proliferation
Lgals9,Proliferation
Lilrb4a,Proliferation
Lilrb4b,Proliferation
Lmbr1l,Proliferation
Lmo1,Proliferation
Lrrc32,Proliferation
Mad1l1,Proliferation
Malt1,Proliferation
Mapk8ip1,Proliferation
Marchf7,Proliferation
Msn,Proliferation
Nck1,Proliferation
Nck2,Proliferation
Nckap1l,Proliferation
Ncstn,Proliferation
Ndfip1,Proliferation
P2rx7,Proliferation
Pawr,Proliferation
Pdcd1lg2,Proliferation
Pde5a,Proliferation
Peli1,Proliferation
Pla2g2a,Proliferation
Pla2g2d,Proliferation
Pla2g2f,Proliferation
Pnp,Proliferation
Prdx2,Proliferation
Prkar1a,Proliferation
Prkcq,Proliferation
Prnp,Proliferation
Psmb10,Proliferation
Ptpn6,Proliferation
Ptpn22,Proliferation
Ptprc,Proliferation
Pycard,Proliferation
Rac2,Proliferation
Rasal3,Proliferation
Rasgrp1,Proliferation
Rc3h1,Proliferation
Rc3h2,Proliferation
Ripk2,Proliferation
Ripk3,Proliferation
Ripor2,Proliferation
Rps3,Proliferation
Rps6,Proliferation
Sash3,Proliferation
Satb1,Proliferation
Scgb1a1,Proliferation
Scrib,Proliferation
Sdc4,Proliferation
Selenok,Proliferation
Sftpd,Proliferation
Sh3rf1,Proliferation
Shh,Proliferation
Slamf1,Proliferation
Slc4a1,Proliferation
Slc7a1,Proliferation
Slc11a1,Proliferation
Slfn1,Proliferation
Sos1,Proliferation
Sos2,Proliferation
Spn,Proliferation
Spta1,Proliferation
Stat5a,Proliferation
Stat5b,Proliferation
Syk,Proliferation
Tarm1,Proliferation
Tfrc,Proliferation
Tgfb1,Proliferation
Tgfbr2,Proliferation
Tmem131l,Proliferation
Tnfrsf1b,Proliferation
Tnfrsf4,Proliferation
Tnfrsf13c,Proliferation
Tnfrsf14,Proliferation
Tnfrsf21,Proliferation
Tnfsf4,Proliferation
Tnfsf9,Proliferation
Tnfsf13b,Proliferation
Tnfsf18,Proliferation
Traf6,Proliferation
Trp53,Proliferation
Twsg1,Proliferation
Vcam1,Proliferation
Vsig4,Proliferation
Vsir,Proliferation
Vtcn1,Proliferation
Washc1,Proliferation
Wnt4,Proliferation
Xcl1,Proliferation
Zap70,Proliferation
Zbtb7b,Proliferation
